,1225,1600,2500,3600
Li,38.98243082,43.71539306,51.33623109,59.30815775
Na,48.55914821,54.62512924,64.81322891,74.40492599
H,51.17864124,58.32773727,69.5325526,79.43285811
K,51.38570115,58.6816934,71.33669697,83.32789847
Cs,57.04848826,64.83240232,78.67924416,92.54240923
