,Li,Na,H,K,Cs
1.2,0.0012218291077784875,0.0012218359718877115,0.0012218375719827348,0.0012218378348394332,0.001221840319286556
1.2112244897959183,0.001729273860597358,0.001729287610252894,0.0017292908154493696,0.001729291341985535,0.0017292963186609975
1.2224489795918367,0.002447456499390647,0.002447484041402544,0.0024474904617756733,0.0024474915164884497,0.0024475014853576043
1.2336734693877551,0.0034638829413924776,0.0034639381102693047,0.0034639509708699365,0.003463953083559766,0.0034639730521885057
1.2448979591836735,0.004902382759689101,0.004902493265479044,0.004902519026061913,0.0049025232579186255,0.0049025632565015366
1.2561224489795917,0.006938175141980117,0.006938396484669961,0.006938448083618065,0.006938456560130833,0.006938536678573439
1.26734693877551,0.009819171750915595,0.009819615083989618,0.009819718434563222,0.009819735412731173,0.009819895888108698
1.2785714285714285,0.013896086354984231,0.01389697427443395,0.013897181272538047,0.013897215277830279,0.01389753669372595
1.2897959183673469,0.01966496790978509,0.0196667461341853,0.019667160700079102,0.019667228804740904,0.019667872532580767
1.3010204081632653,0.027827234830752022,0.027830795703776872,0.027831625905429123,0.027831762291899032,0.027833051441342124
1.3122448979591836,0.03937431511837546,0.039381444723359436,0.03938310706778823,0.03938338016355467,0.03938596156873368
1.323469387755102,0.055706784110136874,0.055721056221945425,0.05572438422725081,0.055724930974770076,0.055730099195954
1.3346938775510204,0.07880167392514958,0.07883023595579906,0.0788368969911795,0.07883799134328236,0.07884833632724036
1.3459183673469388,0.11144665983372981,0.11150379684559861,0.11151712440447628,0.11151931409962242,0.11154001468007971
1.3571428571428572,0.15756631369610355,0.15768054951805124,0.15770720269884123,0.15771158202327998,0.157752986081775
1.3683673469387756,0.22267354505889844,0.22290175939944,0.2229550254079349,0.22296377813900067,0.223046540246764
1.3795918367346938,0.3144881472593762,0.31494355228081383,0.3150499008033083,0.31506737812137914,0.3152326642425382
1.3908163265306122,0.44377215392314723,0.4446794895359274,0.4448915309191799,0.4449263834485548,0.4452560688703595
1.4020408163265305,0.6254339448581585,0.6272376868018845,0.6276596511388404,0.6277290238111434,0.62838547143585
1.413265306122449,0.8799400880037718,0.8835146899687457,0.8843521390243938,0.8844898631724334,0.8857937118459481
1.4244897959183673,1.2350272641062108,1.2420804786214454,1.2437362387351494,1.2440086616884283,1.2465894274003062
1.4357142857142857,1.7275941807504358,1.7414269073874111,1.7446833336965262,1.7452194495632867,1.750302975127503
1.4469387755102041,2.405426792944999,2.4323282084191438,2.4386858703453473,2.439733457701158,2.449679570929088
1.4581632653061225,3.32801419340819,3.3797305666005903,3.392017955777532,3.394045021105485,3.4133245724245582
1.4693877551020407,4.565129181770862,4.663006003276828,4.686428184265104,4.690298393485227,4.72719665283869
1.480612244897959,6.1912096403165275,6.3726166718063935,6.4164426383939865,6.423699879673879,6.493112736995347
1.4918367346938775,8.273362659671866,8.60052854720812,8.680547274592822,8.69383499568658,8.821465316464637
1.5030612244897958,10.851986549769377,11.4218993164233,11.56346094729896,11.58705229812851,11.814878657030462
1.5142857142857142,13.916645277310037,14.868012738402562,15.10878241146892,15.149082667588225,15.540882040105872
1.5255102040816326,17.385655349219483,18.896172732559656,19.286791612228527,19.35251036318859,19.99652168702743
1.536734693877551,21.102210440551968,23.36968035452992,23.970081730483102,24.071675679572607,25.076222479104516
1.5479591836734694,24.856534025138792,28.06390741008451,28.934228355048617,29.082389386771133,30.56152088142728
1.5591836734693878,28.430306651517792,32.70558366069579,33.89370370927297,34.09718739195372,36.14839346555532
1.5704081632653062,31.64494659052904,37.03332206090537,38.56403785855852,38.8276806818807,41.50990387541595
1.5816326530612246,34.392568872730244,40.85278584527492,42.72350207509636,43.04732306681366,46.36915015721961
1.592857142857143,36.640349325505085,44.06372881610661,46.24793157516825,46.62762018399873,50.55016157325319
1.6040816326530611,38.41422411826395,46.654607493178624,49.11037460364786,49.53873584716769,53.98973880462612
1.6153061224489795,39.77476826023344,48.676833891632754,51.35621650770372,51.82483884447477,56.716410675437665
1.626530612244898,40.7956514810037,50.21466056244722,53.070981773186084,53.57157333774523,58.81511984340616
1.6377551020408163,41.54913192390591,51.36112669624973,54.3532497430595,54.8784431941263,60.394111143023025
1.6489795918367347,42.098503763629395,52.20323852375895,55.297238314020426,55.840924180508544,61.56184534966696
1.660204081632653,42.49550241336845,52.8150741201479,55.98422530915731,56.541572166930976,62.414506690266215
1.6714285714285715,42.78054536569379,53.2560838221704,56.47999658112686,57.047308390394,63.031333239901485
1.6826530612244899,42.984258203024524,53.57214481965382,56.835609745816555,57.410124272630675,63.474552665972396
1.693877551020408,43.12936466852416,53.79772827149179,57.08957928607628,57.66926589700817,63.7914850577813
1.7051020408163264,43.232481393820535,53.95826255078737,57.27039363810575,57.853776797099755,64.0173278024743
1.7163265306122448,43.30563607058869,54.072266538279834,57.398839699596614,57.98485600531387,64.17786301395647
1.7275510204081632,43.35747279073185,54.153106683182386,57.48994090180625,58.07782841449255,64.29177509902071
1.7387755102040816,43.39417279618613,54.21037000037143,57.554482805709156,58.14369782434313,64.37250354105436
1.75,43.420140587708296,54.250902343832294,57.600172190874076,58.19032786877781,64.4296643867348
