,a,b,alpha,betaprime,beta_3600,L1,D1,D2
Li,0.23609545237941443,0.004758108527403603,45.90861012665366,2277.9669722827803,117.32251275170697,1e-07,2.178240633382667e-09,5.962528768572278e-06
Na,0.19325661007501554,0.003469698927684919,33.477390103767945,1864.6364023087874,96.034679496667,1e-07,2.987090680905403e-09,8.05119572244841e-06
H,0.18751486753873842,0.0028414618955540545,27.415845099253296,1809.2371994475177,93.18144511565558,1e-07,3.647525715073566e-09,8.423806050684299e-06
K,0.20177072853458064,0.0015640562253260034,15.090796490057944,1946.7848742659014,100.26558594350784,1e-07,6.626555468154486e-09,7.547005684734151e-06
Cs,0.1817086446533745,0.001449761990566695,13.988028565982757,1753.215857938084,90.29616862412601,1e-07,7.148970244683961e-09,8.830769250610847e-06
