L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,60,35042.69 ,0.1076,0.1617,0.1639,0.1638
0.05,10,60,35042.69 ,0.1084,0.2686,0.2694,0.2653
0.1,10,60,35042.69 ,0.1116,0.3982,0.4146,0.4461
0.25,10,15,35042.69 ,0.1166,0.2414,0.2581,0.2372
0.5,10,15,35042.69 ,0.1293,0.3173,0.3468,0.3198
1,10,15,35042.69 ,0.1507,0.3979,0.4466,0.4101
2,10,15,35042.69 ,0.1952,0.4888,0.5514,0.499
5,10,15,35042.69 ,0.3196,0.6495,0.7067,0.6627
10,10,15,35042.69 ,0.531,0.823,0.8904,0.874
