L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,40,28985.12 ,0.1076,0.1396,0.1401,0.1383
0.05,10,40,28985.12 ,0.1084,0.2125,0.2128,0.217
0.1,10,40,28985.12 ,0.1116,0.323,0.3319,0.3176
0.25,10,12,28985.12 ,0.1166,0.2272,0.2233,0.2247
0.5,10,12,28985.12 ,0.1293,0.3036,0.3219,0.31
1,10,12,28985.12 ,0.1507,0.3885,0.4031,0.4117
2,10,12,28985.12 ,0.1952,0.4676,0.4878,0.4818
5,10,12,28985.12 ,0.3196,0.6593,0.6581,0.6673
10,10,12,28985.12 ,0.531,0.8581,0.846,0.8337
