L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,400,24712.43 ,0.1076,0.1182,0.1228,0.1211
0.05,10,400,24712.43 ,0.1084,0.1473,0.1469,0.1489
0.1,10,400,24712.43 ,0.1116,0.198,0.1941,0.2036
0.25,10,400,24712.43 ,0.1166,0.3021,0.3357,0.3156
0.5,10,120,24712.43 ,0.1293,0.242400005,0.224800006,0.2236
1,10,120,24712.43 ,0.1507,0.328900009,0.306800008,0.303000003
2,10,120,24712.43 ,0.1952,0.452399999,0.440100014,0.443300009
5,10,120,24712.43 ,0.3196,0.707199991,0.65079999,0.668600023
10,10,120,24712.43 ,0.531,0.9102,0.92019999,0.898199975
