L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,100,23593.60 ,0.106349997,0.120899998,0.140499994,0.122000001
0.05,10,100,23593.60 ,0.105899997,0.139300004,0.154400006,0.147200003
0.1,10,100,23593.60 ,0.104700003,0.166600004,0.182300001,0.169599995
0.25,10,100,23593.60 ,0.108799998,0.2245,0.238399997,0.226300001
0.5,10,100,23593.60 ,0.124299999,0.277099997,0.32069999,0.295599997
1,10,100,23593.60 ,0.144099995,0.34830001,0.404399991,0.365799993
2,10,100,23593.60 ,0.186299995,0.41870001,0.498199999,0.440299988
5,10,100,23593.60 ,0.309300005,0.54549998,0.614799976,0.602299988
10,10,100,23593.60 ,0.530100018,0.74849999,0.837899983,0.778500021
