L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,15,1000,24556.31 ,0.1076,0.107199997,0.106799997,0.107299998
0.05,15,1000,24556.31 ,0.1084,0.119000003,0.118000001,0.120200001
0.1,15,1000,24556.31 ,0.1116,0.139699996,0.137799993,0.141200006
0.25,15,1000,24556.31 ,0.1166,0.194700003,0.187299997,0.190300003
0.5,15,1000,24556.31 ,0.1293,0.287499994,0.288899988,0.289099991
1,15,1000,24556.31 ,0.1507,0.476999998,0.478100002,0.481700003
2,15,250,24556.31 ,0.1952,0.348699987,0.335799992,0.31400001
5,15,250,24556.31 ,0.3196,0.590399981,0.593200028,0.614700019
10,15,250,24556.31 ,0.531,0.930999994,0.898299992,0.898899972
