L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,80,29580.71 ,0.1076,0.1402,0.1394,0.1389
0.05,10,80,29580.71 ,0.1084,0.2158,0.2174,0.2145
0.1,10,80,29580.71 ,0.1116,0.3334,0.3334,0.3166
0.25,10,20,29580.71 ,0.1166,0.2401,0.2238,0.2231
0.5,10,20,29580.71 ,0.1293,0.356,0.3088,0.3271
1,10,20,29580.71 ,0.1507,0.4965,0.4403,0.4464
2,10,20,29580.71 ,0.1952,0.641,0.5953,0.5858
5,10,20,29580.71 ,0.3196,0.8992,0.8244,0.8336
10,10,20,29580.71 ,0.531,1.1071,0.9869,1.0318
