name,A,mu,sigma,baseline,r2,S_exp,S_theory,notes
sample_00001,0.21481644879473344,184.3922155896421,23.950071293322473,5.468694763807607,85.40245846171217,-0.0029074116729607136,0.0038609612570984497,
sample_001.1,0.21481644879473344,184.3922155896421,23.950071293322473,5.468694763807607,85.40245846171217,-0.0029074116729607136,0.0038609612570984497,
sample_00002,2.183038026854336,95.13099037032137,81.80216550452091,2.89430703652086,44.42483131396211,-0.0024687351584300465,-0.004094441716725572,
sample_00003,0.6019284872236245,159.89211902563446,1.7036850454102543,5.41836468437696,79.03589870157958,-0.002946686928442188,0.0011624444852962323,
sample_00004,2.4471107872924516,92.80911037454753,81.70595910330508,2.6239707749512053,40.543751634986585,-0.0025960297997664195,-0.0046540861667357936,
sample_00005,2.2096466070008924,89.60678877662878,82.2016214956642,2.899984209891141,40.43762606526987,-0.0025872279433930556,-0.004030500485603383,
sample_00006,1.9496993027944511,86.54672675508706,79.39772214128408,3.1530835389540357,40.519423717476016,-0.002924812687802758,-0.004593293578593893,
sample_00007,2.138073259615367,92.46471171092149,81.59801380196592,2.9566811888340045,42.27459540115792,-0.002182446615339506,-0.004129158056841331,
sample_00008,2.2153923278305605,92.35568213411975,81.1080912711175,2.852533825341891,39.989355591144175,-0.0023916083688653167,-0.004489872875273249,
sample_00009,2.4906251341266454,89.68899596627968,81.25024752006568,2.5557436373081606,42.0760368274249,-0.003746262162628189,-0.004981577348392774,
sample_00010,2.395778651897906,86.50774471878852,81.6949866161774,2.6316068738997385,43.416212662999506,-0.0020373577304648727,-0.00459262897144852,
sample_00011,2.2210500049030357,86.08920760744877,79.88646825835384,2.8673423403914104,41.958757271597754,-0.00201924731861558,-0.004980395121617687,
sample_00012,2.6246982019453133,91.57269029356011,81.82839964506468,2.3764986236421106,45.81937314090693,-0.0023249119114904238,-0.00499062484574464,
sample_00013,2.1671065955554103,85.59079057953893,80.38750206692778,2.961653816203325,47.64732298683472,-0.001235741819879843,-0.004604296109065931,
sample_00014,0.1224836251466314,45.55095672102408,8.525574689928515,5.358576501944238,47.39036268105695,-0.0011534086470409433,0.0006135703552448968,
sample_00015,2.176694611906066,88.80018685201154,82.58313012751344,2.8366353418875176,45.54261361096932,-0.0020857749947020277,-0.0039009129137859144,
sample_00016,2.6149619643373745,88.05450607675121,81.57225188142556,2.3450632031812177,41.017287162753036,-0.0026779578257664083,-0.005129123782079359,
sample_00017,0.08853650096546993,143.05432974464827,3.9884878548948333,5.400663147710605,49.12193307455653,-0.003050855103056971,0.00038134500032138696,
sample_00018,2.2440211125735283,94.0578224775419,82.80354619329917,2.7375324732460946,47.4484995209207,-0.0010165819128233333,-0.003918425215069132,
sample_00019,2.051530061806867,85.83358680571754,81.07066298551163,3.0706122535795846,43.056404686283074,-0.0015801508037768253,-0.004118719464049847,
sample_00020,2.5229274760260467,86.87932637889784,80.60296133198177,2.4953689592407704,41.97401393607858,-0.003412176146364687,-0.0053483898921155015,
sample_00021,2.713065916145816,91.76001384876179,82.97414326165217,2.208955175001118,42.28635907879077,-0.0030451330680683064,-0.004683135734151023,
sample_00022,2.8881885574859156,89.9381297072052,81.89927492336335,2.039351977626088,42.52698682000219,-0.003470737710288052,-0.005497109039693471,
sample_00023,0.11626405077544008,41.54438379208759,1.1239411252198084,5.307211699715152,41.13468863562408,-0.0020132492370479316,0.00011962240569496352,
sample_00024,2.360047324075922,89.10817687574674,81.33465252759562,2.607410336263357,41.97953544806324,-0.0025475007594201182,-0.004768084031219255,
sample_00025,0.1418157846420967,146.56805788379143,1.6810838500804202,5.3066793845104225,45.679868805197664,-0.0008514672959792358,0.00029178576643917875,
sample_00026,0.04474430999829166,138.27917192654755,0.3904892750639542,5.334337642400569,46.822029974568416,-0.0017260044503139005,1.4408852488934087e-05,
sample_00027,2.296183357290084,85.89378581299464,80.7681197154524,2.697163384039734,39.79746423848759,-0.0036058408386029916,-0.0048244950696219036,
sample_00028,0.25364430612163363,15.897142788183753,8.40889350368099,5.2638239048378495,60.60679818004302,-0.0005450526998470595,0.0019531623510777862,
sample_00029,2.3795657214203323,91.07140340241561,81.13872600283018,2.573656216499736,37.90045069734905,-0.0031280042380554263,-0.004904768184052333,
sample_00030,1.3508870413270149,93.79319254290823,81.50370854649239,3.654645039176583,39.12096839678546,-0.0015329605399768131,-0.0027224555483201796,
sample_00031,1.8947772013725186,90.29905901439423,81.0185219647047,3.067965416346901,40.67648258473183,-0.0014944064889949038,-0.003996680361259108,
sample_00032,1.6089253280189606,91.2914024444241,81.37594733354074,3.398818291843117,36.981669650219025,-0.002106069329016136,-0.003280045996391423,
sample_00033,0.12465151963550096,146.52126721177774,2.5631789575952206,5.135714647483625,38.41140234759693,0.0010018687205463062,0.0004017465664730713,
sample_00034,2.2538977376218505,105.8639401210556,85.11565701568549,2.480724081248979,45.79444770191328,0.0015503262619323,-0.002839964962603969,
sample_00035,2.9759335221846515,100.25969505532233,83.40813735333047,1.6374437053822593,39.62373854038897,-0.001982057419840755,-0.004862937381271637,
sample_00036,3.9934316951652837,99.50223943231636,85.50571530237019,0.3417887583934764,37.622030757898465,-0.002705863390480734,-0.005435243217155328,
sample_00037,2.4178197581403613,87.68608378721036,79.43334857211758,2.411270001480841,41.301369740627365,-0.003249491987075359,-0.00594143517811907,
sample_00038,0.3689111183246105,196.23046290198647,9.024578303939244,5.17258113838345,92.64606541084527,-0.00035478247800679874,0.003109002703959196,
sample_00039,0.19289938931018272,137.94863216058909,18.839220970343955,5.034646631902814,39.35659696866765,0.002341025736053104,0.0017097373048191589,
sample_00040,0.19247409048475989,138.89716239014214,9.212504412802632,5.009033832065996,31.298444392159862,0.0007962706562445465,0.0015228514391334436,
sample_00041,0.24442479841115844,145.90613017811148,20.690996006779663,4.936851815446146,36.943743105082035,0.003749912597337479,0.0033383882743924786,
sample_00042,0.4991040479481903,146.83807547629243,13.874417175660216,4.8358069002391355,36.64407734847329,0.0054454040024093375,0.006745084279219604,
sample_00043,0.7217555200340108,151.81003188819602,19.439055697239432,4.724948585401356,33.425803292519724,0.012093856904080491,0.011699719583126988,
sample_00044,0.5705470874606703,160.97269797321758,21.921529596575226,4.754615379423665,39.481669280092646,0.013567388490342225,0.010509293516552609,
sample_00045,0.14824793675772044,33.58439320480936,2.5792655358296437,4.917683020506078,59.784201198278836,0.00833728900794617,0.0005013765462035247,
sample_00046,0.34715881063337756,135.49093414757033,31.03110923495085,4.724766473315518,35.59671210010052,0.0019042675850098334,0.0010521270639776148,
sample_00047,0.4335265965652064,120.9135405555021,27.28654134632426,4.7135319808564935,40.22714647387255,-0.004982116130599956,-0.00448552156826143,
sample_00048,0.38390158774385125,161.1203957637393,0.8488145491521565,4.891276985697792,54.621758993741444,-0.0035667539328504416,0.00039527144645001844,
sample_00049,0.17259314817770494,28.16560049326801,16.267589029880906,4.9338799152148685,61.08086430380856,-0.0005043535156525336,0.002619288265007569,
sample_00050,0.547684955931147,1.2594314770867154,10.936246324414794,4.70491964633292,52.10909538805371,0.008933615799659567,0.0037598585728111367,
sample_00051,0.37553323884206075,17.60713434437308,26.759654518169764,4.662322553680659,40.642601573798274,0.008414173914580214,0.007781309789230306,
sample_00052,0.44044147125186,26.914595349336064,31.51289756903822,4.615606108576278,36.558390374336454,0.008769299787802609,0.007312029993796321,
sample_00053,0.4177349477860826,176.02032912446967,5.578976610189819,4.796519495225859,39.45103295341913,0.004917858497657024,0.0009788766785506775,
sample_00054,0.31965358083197987,174.84337510950547,5.4814575079418235,4.9199816216488115,36.26601834476844,0.0004530234008536249,0.0007948001800356375,
sample_00055,0.44614249207086076,138.65697944447146,10.538416183564042,4.770248607410835,42.51138451971619,-0.0008936383951161364,0.003947095440270942,
sample_00056,0.3147241929170022,134.4137758217633,9.719574426921483,4.914376969500862,39.719203671539965,-0.0023235512515584755,0.0018553383005607271,
sample_00057,1.006018866611651,137.44182202708117,8.967563103471134,4.588158962624399,101.71115376714047,0.008646575906597675,0.007621093588241701,
sample_00058,0.8809421048596456,141.71166599403503,17.256641933790288,4.519847634343325,141.05117444437377,0.013538913066704628,0.010906295583926195,
sample_00059,0.5316588150242093,150.85837811623384,20.99729986781454,4.625811616038994,77.2089409321475,0.012236716250283663,0.008779381971420586,
sample_00060,0.531850976210725,144.26023468616833,27.844777368810536,4.55874459522216,66.43619583996373,0.0067477064950052235,0.0062312548938303625,
sample_00061,0.4339962993220199,148.64799716011836,34.18076830085477,4.502091878554862,45.727175274122516,0.005943445203568154,0.005756027075144332,
sample_00062,0.48473153297040983,144.02927976734927,28.848440695200818,4.391969903904901,53.38202381936784,0.008483476808652246,0.005654881312872839,
sample_00063,0.28236636092692197,158.6017826832307,17.078989764733247,4.668642307144083,59.89018321683858,-0.00199490726309115,0.004676994773738508,
sample_00064,0,0,180,4.757839479797978,80.08636273555052,-0.004948876974197991,-1.5909729341734291e-06,
sample_00065,4.221841384451708,142.79099254860563,79.87375730608792,0.1781389128983345,51.786891562283515,0.003789439301604358,0.002839512656983012,
sample_00066,0.5428242232125545,321.8205582482173,25.143828538357802,4.648705432623947,87.99974632745318,0.009092541382322183,0.005716602074753441,
sample_00067,0.5734063159292431,141.96763571304507,24.994502142364027,4.6180312005771205,124.56670670691192,0.008661556882808785,0.006157802408743862,
sample_00068,0.44440950016314335,152.37621110719587,25.48353124776059,4.605444819484803,38.596003900169265,0.007279819849453362,0.007634203940878215,
sample_00069,0.39272643323623296,154.19260567041857,21.329073714555257,4.694357941765714,57.2220867624559,0.009307102864230421,0.006839627472646326,
sample_00070,0.4866441853051865,173.78593907912915,5.824083934378296,4.72322737342256,87.58724420275048,0.005631546774304552,0.001513050504364788,
sample_00071,0,0,180,4.702413023115069,122.73754741546847,-0.000814763470813995,-1.5909729340068957e-06,
sample_00072,0,0,180,4.689391617303117,112.4234430173654,-0.0006487298319005075,-1.5909729340624068e-06,
sample_00073,0.6700209093985037,147.56204053536027,29.700755431906888,4.436745030781652,53.4957753288104,0.008337092392659229,0.009229616942079244,
sample_00074,0.9521988115525023,160.18247532362332,47.45022788752509,4.071374695236838,55.480770843620846,0.014851000563873562,0.014160544572596967,
sample_00075,0.579197462729373,161.04152073844097,34.533718389740194,4.425389036371547,54.703520129031155,0.012719686624267812,0.011989091725489454,
sample_00076,0.5962030589953548,159.1964904173233,34.33233005391664,4.4165728123391945,43.743815510418386,0.01386662954684692,0.011844671632438408,
sample_00077,0.5864555442426067,165.6222258314939,33.92850637544464,4.483511932888579,42.941491222437186,0.015469100611419928,0.013142912858391309,
sample_00078,0.6195763574884898,342.83172013119736,29.133519393579874,4.500684996753131,43.20387834370997,0.015346727387861359,0.013392846610648879,
sample_00079,0.5454637937912388,162.5911198435083,25.319215807751046,4.54647596165904,47.45022054740509,0.013120964823060244,0.011320236145407225,
sample_00080,0.37672962279745276,163.9081761617604,19.258590801897473,4.645670923511993,36.6390419059092,0.005859565556507684,0.006632196869351348,
sample_00081,0.3177681051992738,161.78467744370025,18.556588898728076,4.691161834726361,39.93081905632254,0.004863591160179537,0.005443755658098515,
sample_00082,1.249770047796806,109.56835492853557,50.588539700015936,3.911273410532555,34.25981734714465,-0.017144606746182345,-0.0156961942086985,
sample_00083,0,0,180,4.753912797272726,145.2023628858407,-0.023600186529110168,-1.5909729340068957e-06,
sample_00084,0.07866214150657462,139.67603389329045,6.858013209560876,4.873312943838327,40.66409063369194,-0.005093778872332866,0.0005330760006767576,
sample_00085,0.32823138206470615,159.67871726663873,27.10469010467705,4.670951141241144,30.80159397237675,0.0087472730899546,0.006557244262327955,
sample_00086,0.21405203658875752,141.55168081857897,27.611808597243083,4.629101172430999,36.590677969170386,0.004442021882717917,0.00208643465644609,
sample_00087,0.2129020284244454,51.59677244338402,14.611932175519941,4.822854021119424,48.857091216813245,0.005322830645476118,0.0003390513190880684,
sample_00088,0.12268569581141464,149.10282679305112,3.042207170910499,4.850518439532224,36.19326611965427,0.0020270299075064724,0.0005126301062894356,
sample_00089,0.4259569835171221,159.94198970051087,1.219671500125695,4.975375511497501,52.658268188615274,0.0008440168589801678,0.000641581372654132,
sample_00090,0.33488054071079476,169.42654473882195,2.8364997460428603,4.969347547808395,38.863462306452746,-0.0004030433651697196,0.0007174443805382236,
sample_00091,0.09300899934143389,40.597012554247826,6.276305984997028,5.056033515705913,37.80356746903676,-0.002516060144700849,0.0005559785626557678,
sample_00092,2.053092857282607,86.33675614766594,81.19078587723786,2.73934641371045,33.00383635850148,-0.0032780399077875777,-0.0043512064123285565,
sample_00093,0.09827424437853532,111.65959208272335,8.138793593267875,5.055610487416215,42.159259471294426,-0.0019215363590674994,-0.0008979899675258807,
sample_00094,0.1564700794787302,38.68167537989991,5.847084586364475,5.048728409673083,34.08889085201571,-0.00021737843057145767,0.0009623449853060073,
sample_00095,1.0287228702767626,78.11263387619752,78.48975401361562,3.9845849122238373,37.63811137431562,-0.0004589033312874524,-0.0025116547999340932,
sample_00096,0.43526273081777456,106.5258838302213,6.894290621986103,5.120373478172094,57.611584523456095,-0.0032235063701769318,-0.004393728324635138,
sample_00097,0.23779051984617533,103.04884500314465,5.275385916180678,5.180492421689578,46.03648677026864,-0.002741594333464825,-0.002115789575014182,
sample_00098,0.06631006986356401,44.435315024346494,0.9176472948165528,5.219993390174355,50.82773493554601,-0.003240107407333215,4.559230435652317e-05,
sample_00099,2.1839437264890944,89.83735051896878,80.81717184036438,2.827149524679808,43.73383019187169,-0.003165729162704245,-0.004613326810279483,
sample_00101,0.07903689719465404,137.97998504565135,6.408969579154254,5.3098407534201435,47.13546332573218,-0.002506907933491842,0.0004222742989298256,
sample_00102,0.11184636313385223,147.4581464216373,1.9892821027994345,5.340318226218589,45.90962121557456,-0.0015889089429109715,0.0002739369684006121,
sample_00103,2.896326325686588,93.19697364003781,82.6002478610797,1.9771533868668447,41.12198773828755,-0.002913007146606472,-0.005176467838853616,
sample_00104,2.198700760581979,94.00030906366543,81.89545413779445,2.8521636775841226,42.04095469330787,-0.00217051490392961,-0.0041325802545547075,
sample_00105,1.979459257800149,94.77798447034213,81.82999693409185,3.0736232239275876,50.467546121505116,-0.0008698958645068089,-0.003749420883451149,
sample_00106,2.6369529167413943,99.4446258729326,83.50240220972742,2.252551218471513,41.58536178431765,-0.0024070884479222565,-0.0041380341049847,
sample_00107,2.09137838126477,91.70819468407151,81.4472827623003,2.962325119099063,41.375782689558264,-0.002583886287763848,-0.0041399866038105415,
sample_00108,1.8917140270201551,87.66601812527439,81.28516159069464,3.1834045016919115,41.97974755072442,-0.0022276150645669235,-0.0038006096481225105,
sample_00109,0.5071008514795421,339.2822991885987,2.07552698652308,5.366659949869321,74.49151154762521,-0.003017578233515561,0.001221053977062292,
sample_00110,0.12305061427472268,138.3618412797398,5.9885676820649145,5.346038440865626,45.71700377854805,-0.0010947767308470135,0.0006307939197410795,
sample_00111,2.187682654257354,93.49924216212587,81.34025175290012,2.8281835953395644,46.6873717043369,-0.002406157927771213,-0.00436798117658177,
sample_00112,2.318633567182506,94.560934155887,83.36893335395236,2.668110649961379,41.6655385378904,-0.001457965708572151,-0.003814909082442197,
sample_00113,2.264627886903082,93.73013224257731,81.75767099793617,2.7024595434579077,41.785190910859214,-0.0019344180381072884,-0.0043766121372893485,
sample_00114,2.9577421137405637,97.03759688420035,82.96417786457441,1.9491223812250196,44.1323517479738,-0.0029601783814319216,-0.004943460489166829,
sample_00115,2.3979183688514847,92.72280956604548,82.40621715151865,2.561872183645931,41.656656898622884,-0.0022442843213060226,-0.004367954619433345,
sample_00116,0.08655474811159115,123.20312855398937,12.523852664389876,5.294064989917862,39.735869627021394,-0.002072343021216172,-0.00023200928558397838,
sample_00117,0.24399242529991383,16.107079199228213,9.400004032254502,5.365321606637765,68.55976133306918,-0.0017640184070870646,0.002045843093926969,
sample_00118,2.5500641085181788,91.50800918506653,82.4246931668392,2.4299810471336083,44.169665063884416,-0.002315416989196961,-0.004612933000950559,
sample_00119,2.0608971564653475,89.81589639081353,81.45079378010824,2.9580354547876997,42.39842399827633,-0.001861374635444002,-0.004115618431460688,
sample_00120,2.1732013315064718,91.18011698612305,82.27944371053364,2.8569036119733298,42.64039176934014,-0.0021037151952029154,-0.003994835088847015,
sample_00121,0.046908376305172465,47.05776313554747,8.486667491109964,5.34732131965938,43.76098951830147,-0.0021266760778073657,0.0001976721906561396,
sample_00122,2.4631528535587908,92.93007935747099,82.78210826803654,2.460787612063258,43.354791692087346,-0.002610933157865536,-0.004347845614437018,
sample_00123,0.20329577835356322,186.46815498285878,21.146172775838274,5.348243500132124,77.95047181677053,-0.0017232855314410767,0.003319155390610895,
sample_00124,0.13590386304276694,42.81480275226184,2.433861989327308,5.34797252378152,45.04860274662398,-0.002051160800054408,0.00027746995071087355,
sample_00125,2.2945187267308773,91.89933931688512,82.36823220542759,2.648273812162573,40.62562364382102,-0.002864325719401095,-0.004230821379048066,
sample_00126,1.9385213081357848,88.97454996297361,81.92182522395083,3.1669866449811876,40.40680144854544,-0.001094496808688894,-0.0036580622379670524,
sample_00127,0.08909984666030778,53.234364343755665,3.51626647635797,5.321521292750724,44.79372065736825,-0.0022531267683838507,3.4365921002588173e-05,
sample_00128,2.45714219513891,88.3039846758284,81.42131468004025,2.5070285536115504,39.906149903089975,-0.0028328521837387433,-0.004908182971111785,
sample_00129,0.26263978888911993,194.86997081009287,9.609160816085279,5.370371891937668,63.665899074369804,-0.0022312253192147136,0.002140062269561871,
sample_00130,0.4587471397763045,159.36111334026813,2.038470278013003,5.346097569671379,63.91033871571966,-0.001869688360359778,0.0010872015726851592,
sample_00131,2.2174957463505174,92.34146208028322,82.57260863917327,2.7873382291902877,38.57970127433712,-0.001733768276956038,-0.003969572920654474,
sample_00132,0.12329630833002433,125.40164443525683,16.112186435854188,5.2699018738835175,47.74397179364302,-0.0021515298193971466,-0.00020291039030373437,
sample_00133,2.552198499374371,94.31510766991062,81.47174242760143,2.427478989248505,41.842437792771,-0.00374053727721102,-0.004998139241679911,
sample_00134,0.022869037861156627,139.16894538224284,0.5310410889002213,5.35762652316242,47.74362528196303,-0.002834274385219937,1.0033584116775351e-05,
sample_00135,2.382912379084707,91.89126880211147,82.68098070020903,2.5493405052806026,39.643408469252826,-0.0018734126343287194,-0.004263476372983965,
sample_00136,0.1976011733535885,182.03931521954954,22.269421103905525,5.36391737307625,74.13468355998577,-0.0020686440035782017,0.0033844913719620617,
sample_00137,2.513473227868869,96.92505591195686,82.57568505063117,2.4594181607477266,40.34763403791694,-0.003096018946882273,-0.004369408080687365,
sample_00138,0.08891802581260953,52.58840904805843,10.2601692247029,5.329305706693946,51.09475976795322,-0.001576250133981938,9.222665806951635e-05,
sample_00139,2.3973227661193106,89.87059653488286,82.29040452403996,2.5458257125995116,43.02588752201395,-0.0017830469682779682,-0.004448424459438827,
sample_00140,2.186607565990555,93.61970398732474,82.90046755807961,2.7925230107143055,42.249645721137405,-0.001305562362572954,-0.0037997419533936094,
sample_00141,2.356976273774903,89.24247210323227,80.7441796539437,2.6999367736947044,42.35392364126708,-0.0030575252355005134,-0.004945387779033583,
sample_00142,2.5387342613372814,89.90443491489482,81.8142372926876,2.4230661579833637,46.117264588638534,-0.0025270878364719307,-0.004888335929781051,
sample_00143,0.0909141186176319,51.198509180210166,10.365654174242458,5.280877456979877,44.61263125664031,-0.0016135776818887448,0.00018558181845640398,
sample_00144,0.2566515181671431,195.53099681971267,8.38060103186562,5.338925414246246,64.40895416177493,-0.002350882561922174,0.0019139034118933473,
sample_00145,0.1215725968595971,57.32938600121522,12.898027242904853,5.329056074669424,45.92458425766737,-0.0019280096179430939,-0.00039202396282977947,
sample_00146,2.3302242091867975,92.35129427563,82.21756708330231,2.660378445267871,42.803252711542704,-0.0029294650711172987,-0.004309209858639862,
sample_00147,2.2214271983435374,93.56467508962862,81.77362182134337,2.7681665823463693,41.71867011626495,-0.002563506583394326,-0.004277104494435746,
sample_00148,0.5673234031585601,159.66821177427997,2.0716685682333162,5.365940605410658,71.52062318121487,-0.0013472242482611696,0.0013503448493938919,
sample_00149,2.3164317678754287,90.29611969139899,82.34217450963239,2.6384629552950076,42.488883670853554,-0.0024797242603092906,-0.004278243292241746,
sample_00150,1.9441882637995813,91.04480274575104,80.95291863926866,3.1282488844273812,43.61306704782042,-0.0018744931688630118,-0.004032960117807627,
sample_00151,1.9997091637378779,91.91680226024152,80.87857717263138,3.068940687164636,38.25013869176639,-0.001982932601093057,-0.004166538375156181,
sample_00152,2.405763537283528,92.84187647139888,82.83580531572908,2.5667375013221516,43.39097659369474,-0.002589007893824047,-0.0041955971270826176,
sample_00153,3.035127790942978,96.43988567665859,83.97398226679502,1.74481221813421,38.75949828334632,-0.002958457386733726,-0.004721535336319693,
sample_00154,1.8261652658833607,92.64283272480537,80.67173846142676,3.2257846308514737,37.76773681720874,-0.0025623862267626363,-0.0038990000697239346,
sample_00155,2.6108374222643653,93.91420172242235,82.19541871595305,2.3222580961920727,45.16162255722126,-0.0028171897221100917,-0.0048213405309947,
sample_00156,2.276523030612258,93.95888259011328,82.70589742086858,2.7173797208485357,43.57085354071966,-0.0021120485097193553,-0.004000592149723925,
sample_00157,1.7993143726374792,89.95177763698908,80.47055066643789,3.31952932392538,41.316821039367184,-0.0023483957007485734,-0.0038822439517375296,
sample_00158,2.0880509782054473,89.2482215016935,82.03393043080732,2.8460938262711872,39.58080884541434,-0.0011563276181629778,-0.00401061463860275,
sample_00159,0.37962510482005957,30.058566552716165,1.1386807798481455,5.295374573797063,175.4838671330884,0.0023720579258699193,0.0005545634807107014,
sample_00160,0.8345412975991655,141.10374638351993,1.0557217051252104,5.35137726467144,727.8596047660066,0.002485193051745549,0.0009185037450432088,check
sample_00161,2.198789471389502,89.21994127999557,81.01178822732365,2.7305100448184896,43.38037930009099,-0.0017750892145974584,-0.004630474512644478,
