name,X,Y,A,mu,sigma,baseline,S_exp,S_theory,FWHM,G2,eta,r2,notes
sample_01908,106,9,1.1544292473063165,161.07911384705383,24.61964254338163,3.744849590620333,0.0262773534707813,0.0272612027546904,1.0118516277348917,0.3998190037579817,0.23604903742410732,45.32616404093205,
sample_01909,107,9,1.7909476405957223,158.41154858583388,25.94508115059937,3.322285045129398,0.0426566777572353,0.0439821132804646,1.0663263102902025,0.4397816908027748,0.22389668689438363,58.289628792806816,
sample_01910,108,9,2.1791484276371915,156.90893164046355,26.98473612995675,3.10634437025376,0.0508702507330748,0.0533824907611544,1.1090554677624034,0.4719881447205104,0.21505656440938417,59.66672686668278,
sample_01911,109,9,2.034925888378217,163.42175447271177,23.290937982665994,3.270280655066065,0.0544591349128414,0.0521572037901069,0.9572427165709758,0.3611020546824377,0.24931687873311542,58.770060365472354,
sample_01912,110,9,2.016261189208336,162.68253185375363,20.814186327070782,3.4018292742628544,0.0470295674982086,0.0472396004707185,0.8554498010242468,0.2929182389536377,0.27734391447519285,59.605839547026655,
sample_01913,111,9,2.7960556661945284,160.12417709822154,23.470012968712,3.0682923823442865,0.0765927234281752,0.0703950721697038,0.9646025844406237,0.36623740474337274,0.24746143039521387,64.94861346965621,
sample_01914,112,9,2.775539240571317,160.5047584498499,22.953585866978784,3.069791280686144,0.0762662629155719,0.0699482199065395,0.9433777594832995,0.3515001121885243,0.25287159971977663,62.5007004044657,
sample_01915,113,9,3.203898078785586,159.1598662079383,24.28586655655693,2.885520801755895,0.0851196228741069,0.0819628400897255,0.9981336472657486,0.38996197984756514,0.23927558982481317,70.473998976295,
sample_01916,114,9,3.5842270669330976,159.1855456331127,23.597285558961502,2.7455306370412145,0.1023110142987737,0.093135607416856,0.9698334068371339,0.36990319893764695,0.2461557870021344,74.81832843272693,
sample_01917,115,9,3.974557987120116,158.30613394120437,23.6305898729286,2.563028834359275,0.1134244752491685,0.104741225423258,0.9712021929289231,0.3708646310874099,0.24581590718567192,92.8104543007112,
sample_01918,116,9,3.8548793636184047,157.94146430318813,23.83164469405704,2.544799846111144,0.1068007360599286,0.1021987758258061,0.9794654180210133,0.3766877522917583,0.24377960516617678,82.87972994935805,
sample_01919,117,9,3.697000020122998,158.25007973928243,24.438944145652076,2.6539352651432453,0.1046122764951499,0.0963253279735637,1.0044250386790368,0.3944719811912495,0.2377872025787033,87.29084989177053,
sample_01920,118,9,3.384181213117429,157.7597812959394,25.45757506143801,2.7121378381064565,0.0949949365518287,0.0873293944262322,1.046290120529145,0.42493484330896225,0.22824719073009514,88.59845342217744,
