E vs SHE,j / mAcm2
1.648079,0.1256340340909091
1.749438,0.5731948863636365
1.849544,2.0501176136363637
1.949772,4.253192045454545
2.04966,6.797431818181818
2.149537,9.518267045454547
2.2495979999999998,12.346738636363636
2.349563,15.249522727272728
2.449448,18.206107954545455
2.5493889999999997,21.203596590909086
2.6496109999999997,24.228857954545457
2.749484,27.284573863636364
2.849474,30.353170454545456
2.949611,33.42548295454546
3.049533,36.50723295454545
3.149424,39.614931818181816
3.2494199999999998,42.706653409090904
3.349488,45.822625
3.4493769999999997,48.924119318181816
3.549296,52.03149431818182
3.649454,55.1254090909091
3.6487499999999997,55.064210227272724
3.5471399999999997,51.825568181818184
3.4470349999999996,48.64489204545455
3.3471569999999997,45.48289772727272
3.247096,42.30652272727273
3.147109,39.13540909090909
3.0471969999999997,35.96729545454546
2.947256,32.84330113636364
2.84708,29.71293181818182
2.7470689999999998,26.599465909090906
2.6471709999999997,23.51199431818182
2.5469839999999997,20.440829545454545
2.4470669999999997,17.39841477272727
2.347202,14.404034090909091
2.247241,11.466590909090911
2.147176,8.629835227272727
2.047291,5.940727272727273
1.947389,3.5044522727272724
1.847121,1.510240909090909
1.747192,0.321479375
