t/hr,j/mAcm2
0.002777777777777778,42.757982954545454
0.005555555555555556,43.897369318181816
0.008333333333333333,43.80669318181818
0.011111111111111112,43.48623863636363
0.013888888888888888,43.308147727272726
0.016666666666666666,43.12018181818182
0.019444444444444445,43.541346590909086
0.022222222222222223,42.92547159090908
0.025,42.59777840909091
0.027777777777777776,42.661267045454544
0.030555555555555555,42.5249715909091
0.03333333333333333,42.547943181818184
0.03611111111111111,43.19784659090909
0.03888888888888889,42.71096022727273
0.041666666666666664,42.61175568181819
0.044444444444444446,42.68702840909091
0.04722222222222222,42.42249431818182
0.05,43.799210227272724
0.05277777777777778,43.80746590909091
0.05555555555555555,43.68635227272727
0.058333333333333334,43.49131818181818
0.06111111111111111,44.256573863636355
0.06388888888888888,43.75971022727272
0.06666666666666667,43.661397727272735
0.06944444444444445,43.66178409090909
0.07222222222222222,43.232420454545455
0.075,44.142914772727266
0.07777777777777778,43.57355681818182
0.08055555555555556,43.44335227272727
0.08333333333333333,43.04053409090909
0.08611111111111111,42.80686931818182
0.08888888888888889,43.54147159090909
0.09166666666666666,43.326153409090914
0.09444444444444444,43.1667840909091
0.09722222222222222,43.20011931818183
0.1,42.89376136363636
0.10277777777777777,43.596403409090904
0.10555555555555556,43.17435795454546
0.10833333333333334,43.03671022727273
0.1111111111111111,42.68538636363636
0.11388888888888889,42.34784090909091
0.11666666666666667,42.96375
0.11944444444444445,42.33017613636363
0.12222222222222222,42.5719034090909
0.125,42.63454545454545
0.12777777777777777,42.45511931818182
0.13055555555555556,42.9849375
0.13333333333333333,42.903749999999995
0.1361111111111111,42.73253977272727
0.1388888888888889,42.83475
0.14166666666666666,42.573170454545455
0.14444444444444443,43.001994318181815
0.14722222222222223,43.28536931818183
0.15,42.90538636363636
0.1527777777777778,42.77766477272727
0.15555555555555556,42.44731250000001
0.15833333333333333,43.06781818181818
0.16111111111111112,43.02704545454546
0.1638888888888889,43.05015340909091
0.16666666666666666,43.29118181818182
0.16944444444444445,44.47002840909091
0.17222222222222222,44.032505681818186
0.175,43.865988636363646
0.17777777777777778,43.80882386363637
0.18055555555555555,43.52765340909092
0.18333333333333332,43.28715340909091
0.18611111111111112,44.40203977272728
0.18888888888888888,44.39177272727272
0.19166666666666668,44.303687499999995
0.19444444444444445,44.1836875
0.19722222222222222,45.33672159090909
0.2,44.84722727272727
0.20277777777777778,44.62897159090909
0.20555555555555555,44.813068181818174
0.20833333333333334,44.642301136363635
0.2111111111111111,45.10221590909091
0.21388888888888888,45.45496590909091
0.21666666666666667,45.02519886363637
0.21944444444444444,44.73805681818182
0.2222222222222222,45.926210227272726
0.225,45.40798863636363
0.22777777777777777,45.17752840909091
0.23055555555555557,45.05867613636364
0.23333333333333334,44.90869886363636
0.2361111111111111,45.61471590909091
0.2388888888888889,45.34375568181818
0.24166666666666667,44.99670454545455
0.24444444444444444,44.83355113636364
0.24722222222222223,44.79923863636364
0.25,45.4243125
0.25277777777777777,45.13644886363637
0.25555555555555554,45.13342045454546
0.25833333333333336,44.876011363636366
0.2611111111111111,44.61165909090909
0.2638888888888889,45.6734034090909
0.26666666666666666,45.2528409090909
0.26944444444444443,44.88763068181818
0.2722222222222222,44.842909090909096
0.275,44.49216477272727
0.2777777777777778,45.12561363636364
0.28055555555555556,45.00406818181818
0.2833333333333333,44.77518181818182
0.2861111111111111,45.063232954545455
0.28888888888888886,45.4425625
0.2916666666666667,45.43902272727273
0.29444444444444445,45.04571022727272
0.2972222222222222,45.064125000000004
0.3,44.65354545454546
0.30277777777777776,45.17438636363636
0.3055555555555556,45.26575
0.30833333333333335,44.74573863636363
0.3111111111111111,44.686369318181825
0.3138888888888889,45.60427840909091
0.31666666666666665,44.87135227272727
0.3194444444444444,44.55736931818182
0.32222222222222224,44.46182954545454
0.325,44.46842045454546
0.3277777777777778,45.16765340909091
0.33055555555555555,44.43634090909091
0.3333333333333333,44.33036363636364
0.33611111111111114,44.18873863636363
0.3388888888888889,43.70818181818182
0.3416666666666667,44.98476136363636
0.34444444444444444,44.4223125
0.3472222222222222,44.03252272727273
0.35,44.065352272727274
0.3527777777777778,43.65225568181818
0.35555555555555557,44.77193750000001
0.35833333333333334,44.13610795454545
0.3611111111111111,44.12622159090909
0.3638888888888889,44.24244886363637
0.36666666666666664,44.17969318181818
0.36944444444444446,45.09930113636363
0.37222222222222223,44.47228977272727
0.375,44.08746022727273
0.37777777777777777,44.405193181818184
0.38055555555555554,44.32614204545454
0.38333333333333336,45.08442045454546
0.3861111111111111,44.48324431818182
0.3888888888888889,44.69028977272727
0.39166666666666666,44.327284090909096
0.39444444444444443,44.00113068181818
0.3972222222222222,45.035857954545456
0.4,44.45826704545455
0.4027777777777778,44.52024431818182
0.40555555555555556,44.179556818181815
0.4083333333333333,43.87625568181818
0.4111111111111111,44.91551136363637
0.41388888888888886,44.46698863636363
0.4166666666666667,44.46055681818182
0.41944444444444445,44.2343409090909
0.4222222222222222,43.866875
0.425,44.79022159090909
0.42777777777777776,44.17491477272728
0.4305555555555556,44.00313068181818
0.43333333333333335,44.02742613636363
0.4361111111111111,44.18302272727273
0.4388888888888889,44.793142045454545
0.44166666666666665,44.78347159090909
0.4444444444444444,44.53584090909091
0.44722222222222224,44.83452272727272
0.45,44.62527840909091
0.4527777777777778,44.21207386363636
0.45555555555555555,44.409375000000004
0.4583333333333333,43.958636363636366
0.46111111111111114,44.63971590909091
0.4638888888888889,44.65443181818182
0.4666666666666667,44.378431818181824
0.46944444444444444,44.39544318181818
0.4722222222222222,43.96150568181818
