E vs SHE,j / mAcm2
1.6499350000000002,0.08895676136363635
1.7503790000000001,0.5856130681818181
1.850398,2.023588636363636
1.950638,3.9680835227272726
2.05051,6.141721590909091
2.150399,8.430431818181818
2.250464,10.781289772727272
2.350428,13.178068181818182
2.450301,15.607556818181818
2.550232,18.09721590909091
2.6504399999999997,20.856892045454543
2.7502899999999997,24.1265
2.850269,27.382068181818184
2.950453,30.33578409090909
3.0504729999999998,31.306994318181818
3.15027,28.90264204545455
3.25025,34.8253125
3.350414,35.53694318181819
3.4502569999999997,39.12042045454545
3.550058,42.04642613636364
3.650362,45.5942159090909
3.750178,46.85068749999999
3.850187,46.259721590909095
3.950145,47.31698295454545
4.050198,65.27579545454546
4.15006,68.36198863636363
4.147616,69.46926136363636
4.046414,66.80437500000001
3.9462059999999997,63.765170454545455
3.846033,60.70164772727272
3.7461889999999998,57.56221590909092
3.6462719999999997,54.444596590909086
3.5461359999999997,51.35903977272727
3.446231,48.31970454545454
3.346351,45.22084659090909
3.2462709999999997,42.15371022727273
3.14629,39.07546590909091
3.046366,36.000517045454544
2.946465,32.93923863636364
2.8463049999999996,29.86197159090909
2.746345,26.829670454545454
2.646449,23.78324431818182
