E vs SHE,j / mAcm2
1.649685,0.2571488068181818
1.7504220000000001,0.32386971590909097
1.850482,0.28669232954545454
1.950742,0.22805250000000002
2.05062,0.16790784090909094
2.150421,0.33953448863636365
2.250186,1.5102875
2.3504639999999997,3.624065909090909
2.450291,6.149369318181819
2.5502309999999997,8.881551136363637
2.6504339999999997,11.73034090909091
2.7502839999999997,14.658909090909091
2.8502699999999996,17.638136363636367
2.950431,20.656517045454546
3.050331,23.696539772727274
3.150225,26.76651136363637
3.2502109999999997,29.841874999999998
3.350301,32.9302840909091
3.4501939999999998,36.0380625
3.550099,39.15428409090909
3.650238,42.27673863636364
3.750168,45.4155625
3.850024,48.561392045454554
3.950161,51.72464204545455
4.05013,54.94378977272727
4.150066,58.15920454545454
4.1476750000000004,58.04897727272728
4.046463,54.734528409090906
3.9462289999999998,51.45293750000001
3.846069,48.18931818181818
3.7462269999999998,44.96343181818181
3.64632,41.72611931818182
3.546173,38.52222159090909
3.4463239999999997,35.313556818181816
3.346427,32.125107954545456
3.246343,28.938846590909087
3.146371,25.777551136363638
3.046467,22.647920454545456
2.946523,19.53952840909091
2.8463789999999998,16.492607954545452
2.7463729999999997,13.461119318181819
2.646492,10.492147727272727
2.546286,7.628460227272726
2.446341,4.912258522727273
2.346475,2.492076136363637
2.2464839999999997,0.7229471590909091
2.14642,0.03459713068181818
2.046534,-0.12958886363636363
1.946601,-0.19782704545454544
1.846395,-0.2975306818181818
1.746462,-0.41242738636363635
