wavelength (nm),0.0,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.41666666666666663,0.5,0.5833333333333333,1.5833333333333333,2.583333333333333,3.583333333333333,4.583333333333333,5.583333333333333,6.583333333333333,7.583333333333333,8.583333333333334,9.583333333333334,10.583333333333334,11.583333333333334,12.583333333333334,13.583333333333334,14.583333333333334,15.583333333333334,16.583333333333332,17.583333333333332,18.583333333333332,19.583333333333332,20.583333333333332,21.583333333333332,22.583333333333332,23.583333333333332,24.583333333333332,25.583333333333332,26.583333333333332,27.583333333333332,28.583333333333332,29.583333333333332,30.583333333333332,31.583333333333332,32.583333333333336,33.583333333333336,34.583333333333336,35.583333333333336,36.583333333333336,37.583333333333336,38.583333333333336,39.583333333333336,40.583333333333336,41.583333333333336,42.583333333333336,43.583333333333336,44.583333333333336,45.583333333333336,46.583333333333336,47.583333333333336,48.583333333333336,49.583333333333336,50.583333333333336,51.583333333333336,52.583333333333336,53.583333333333336,54.583333333333336,55.583333333333336,56.583333333333336,57.583333333333336,58.583333333333336,59.583333333333336,60.583333333333336,61.583333333333336,62.583333333333336,63.583333333333336,64.58333333333333,65.58333333333333,66.58333333333333,67.58333333333333,68.58333333333333,69.58333333333333
200.0,0.25116,0.15037,0.50976,0.86344,0.71509,0.70909,0.73205,0.99183,0.57242,0.65926,0.88284,0.65121,0.93828,0.69899,0.54212,0.87144,0.74843,0.65447,0.71857,0.99022,0.60265,0.69827,0.88914,1.11212,0.61961,0.71822,0.89781,0.88977,0.78692,0.62397,0.57362,0.72389,0.59695,0.75974,0.84813,0.52344,0.68514,0.77783,7.05323,0.78003,0.74976,0.93068,0.63018,0.88472,0.8112,0.99965,0.98957,0.90722,0.8334,0.8643,1.19979,7.03242,0.81738,0.83446,0.76171,0.62536,0.86281,0.89125,0.69538,0.80239,0.68357,0.79584,0.75787,0.772,1.16539,0.72949,1.04974,0.71688,1.48089,0.59102,0.90222,0.70555,0.68558,0.50591,0.93613,0.69118,0.67282
201.0,0.24732,0.18823,0.78349,0.8963,0.81219,0.90919,0.85541,1.03056,0.8027,0.75469,0.99852,0.95085,1.01746,0.92971,0.81311,0.94807,0.93012,0.90313,0.88569,1.11422,0.8092,0.90873,0.95653,1.1469,0.86966,0.92909,1.25225,1.09581,1.22589,0.85857,0.74316,0.9266,0.96018,0.96785,1.15399,0.81229,0.91877,1.00127,4.11931,1.05213,1.0148,1.05522,0.97994,1.03282,0.94874,1.19215,1.12052,1.10303,1.13453,1.0674,4.11548,4.19126,0.97232,1.02163,1.02997,1.11097,1.19045,1.09568,1.01981,0.99768,0.83099,1.03331,1.00201,0.97698,1.23487,0.91753,1.13985,0.98062,1.4202,0.92863,1.14734,0.99557,3.81488,0.82438,1.35594,1.103,0.96007
202.0,0.22974,0.22607,1.04003,0.97783,0.96241,1.03935,0.96989,1.09488,1.03251,0.90125,1.14656,1.14296,1.11551,1.2459,1.12174,1.10037,1.18858,1.16916,1.131,1.26769,1.07724,1.15159,1.07729,1.14766,1.09992,1.18311,1.61129,1.34918,1.49727,1.14435,0.99663,1.21188,1.23778,1.23642,1.4353,1.14542,1.17532,1.2789,1.1998,1.37329,1.3841,1.40872,1.40169,1.22496,1.27436,1.51808,1.34145,1.34511,1.33261,1.49221,4.20928,1.49232,1.25832,1.28905,1.28095,1.51144,1.49402,1.31412,1.4033,1.29349,1.16095,1.3722,1.27619,1.25739,1.35241,1.25342,1.27918,1.35837,1.27755,1.31335,1.41012,1.40853,4.16026,1.29646,1.54611,1.42621,1.28726
203.0,0.20477,0.23824,1.01476,0.99119,0.94612,1.08155,1.03466,1.14383,1.09323,1.05425,1.03895,1.28969,1.06109,1.21509,1.22269,1.15792,1.19852,1.26014,1.13972,1.23501,1.20584,1.2351,1.20931,1.28459,1.21915,1.30621,1.33678,1.40257,1.66053,1.34474,1.25601,1.37493,1.39457,1.40139,1.45278,1.38889,1.34009,1.4215,1.35281,1.53756,1.57682,1.57284,1.5152,1.37359,1.47618,1.51816,1.64542,1.49826,1.53609,1.73375,4.40882,1.72789,1.41998,1.84488,1.49433,1.7473,1.7038,1.64839,1.63198,1.64602,1.59432,1.46101,1.51791,1.58667,1.48556,1.6575,1.51549,1.74128,1.48113,1.60163,1.57332,1.63585,4.44072,1.56973,1.73884,1.71491,1.48489
204.0,0.18444,0.22377,0.96109,0.98753,0.98561,0.99573,1.0161,1.11772,1.05991,1.10256,1.07662,1.16841,1.108,1.23565,1.21096,1.20235,1.23519,1.25594,1.24464,1.24395,1.27647,1.27572,1.28318,1.26953,1.28495,1.35549,1.37957,1.39865,1.47415,1.38059,1.39671,1.45593,1.38068,1.4618,1.43138,1.50396,1.4813,1.48262,1.4782,1.58736,1.72477,1.69756,1.54248,1.51825,1.66177,1.63843,1.87134,1.73836,1.68943,1.90289,1.66643,1.80104,1.63845,2.1702,1.64127,1.7189,1.76333,1.93519,1.77649,1.88023,1.82249,1.66764,2.11786,1.73782,1.6199,1.89013,1.71852,1.90537,1.56217,4.47175,1.72114,1.7817,2.07006,1.79827,1.62078,1.76894,1.62111
205.0,0.18129,0.20964,0.91759,0.93543,0.96401,0.97793,0.98458,1.06107,1.02667,1.08723,1.07412,1.14276,1.14415,1.17575,1.14706,1.18362,1.20154,1.23325,1.25376,1.20934,1.28438,1.28197,1.28228,1.29447,1.35735,1.3663,1.36897,1.38293,1.42245,1.38014,1.46369,1.45349,1.48478,1.45154,1.45101,1.55909,1.58476,1.50855,1.59985,1.59432,1.68872,1.58137,1.6294,1.65155,1.68073,1.65567,2.00569,1.8713,1.97664,1.89272,1.80405,1.7971,1.72842,2.41256,1.93331,1.84733,1.9525,2.07313,1.91113,2.0829,1.9612,1.82989,2.32703,1.89872,1.78736,2.04703,1.9286,1.93741,1.79949,4.62256,1.82026,1.85996,2.17492,1.84115,1.81773,1.8733,1.76039
206.0,0.17821,0.19666,0.8853,0.89278,0.9263,0.93665,0.92486,0.99087,1.00161,1.04859,1.08351,1.08839,1.11116,1.13059,1.14134,1.15545,1.14643,1.19123,1.22068,1.19961,1.2272,1.24232,1.27056,1.28261,1.35285,1.37754,1.38801,1.35756,1.34554,1.40336,1.41218,1.44811,1.53239,1.44127,1.52173,1.53834,1.60415,1.556,1.57501,1.56502,1.66725,1.5783,1.66619,1.68559,1.67243,1.67043,1.96177,1.97869,2.06943,1.94058,1.91444,1.84726,2.00564,2.24074,2.25817,2.04657,1.91861,2.20388,1.90988,2.06131,1.88298,1.85345,2.46188,1.94264,1.96224,1.98651,2.07261,1.95415,1.95343,4.71067,1.77306,1.90068,2.28496,1.93798,1.95895,1.95589,2.01776
207.0,0.17269,0.19321,0.84993,0.85225,0.88471,0.90135,0.89006,0.9675,0.96442,1.00632,1.04346,1.03768,1.06893,1.10025,1.09948,1.11869,1.12533,1.14851,1.17442,1.16596,1.19682,1.22171,1.22568,1.26507,1.29254,1.33286,1.33414,1.34868,1.31451,1.38264,1.38666,1.41771,1.49024,1.40989,1.51026,1.49707,1.54535,1.54872,1.5846,1.56024,1.54384,1.55049,1.70353,1.64843,1.67475,1.72606,1.90995,1.97142,2.03249,2.00003,2.04413,1.97645,2.08556,2.27097,2.30433,2.15646,2.01466,2.0779,2.00964,2.106,1.97876,1.98593,2.08208,2.03562,2.03844,2.01725,2.16484,1.95457,2.07444,2.08485,1.87274,1.95484,1.98331,2.01112,2.05193,1.97771,2.18774
208.0,0.16007,0.18449,0.80689,0.79887,0.849,0.86024,0.85757,0.92605,0.91533,0.96633,0.99133,0.99172,1.0127,1.05314,1.05578,1.05721,1.08114,1.09139,1.12353,1.13569,1.13547,1.17076,1.18323,1.22395,1.23037,1.28191,1.30149,1.28522,1.29316,1.33042,1.32204,1.35598,1.39603,1.3722,1.45601,1.44136,1.46342,1.50357,1.53586,1.51808,1.49603,1.5285,1.56898,1.56351,1.61652,1.72128,1.89747,2.03299,1.98816,2.03555,2.10788,1.99259,2.18079,2.26811,2.22852,2.16417,2.02766,2.09771,2.01542,2.10712,1.99403,2.03224,2.06068,2.03425,2.12683,2.02992,2.17716,2.04215,2.13187,2.09826,2.04376,1.97604,2.01344,2.10195,2.11362,2.04858,2.24337
