E vs SHE,j / mAcm2
1.64937,0.12468096590909092
1.749833,0.7767488636363638
1.849881,2.5815880681818184
1.950085,5.003236363636364
2.04994,7.711204545454545
2.149823,10.56275
2.249892,13.505914772727271
2.349872,16.49694318181818
2.4497039999999997,19.515409090909095
2.549632,22.561801136363634
2.649866,25.62099431818182
2.749689,28.697545454545452
2.849656,31.796227272727275
2.9498409999999997,34.92491477272727
3.049725,38.04577272727273
3.149602,41.165732954545454
3.249602,44.34765340909091
3.3496949999999996,47.464238636363625
3.4495579999999997,50.49680681818181
3.5494559999999997,53.46106818181818
3.649612,56.152289772727265
3.7495179999999997,59.11693181818181
3.8493739999999996,62.65789772727272
3.9494849999999997,66.40687499999999
4.049495,70.0319318181818
4.148651,73.42903409090907
4.086826,71.79511363636365
3.9882779999999998,68.60818181818182
3.888149,65.44812499999999
3.7882789999999997,62.15414772727273
3.6883969999999997,59.17823863636363
3.58839,55.72115909090909
3.488418,52.40507954545454
3.38854,49.032301136363635
3.288643,45.67548295454546
3.188428,42.40985227272727
3.0885529999999997,39.065369318181816
2.988724,35.75569318181818
2.888553,32.46343181818182
2.7886219999999997,29.201443181818185
2.688644,25.990352272727275
2.588644,22.78176704545454
2.4885479999999998,19.609153409090908
2.38867,16.467568181818184
2.2887839999999997,13.397988636363639
2.188608,10.420022727272727
2.0886649999999998,7.537772727272727
1.988845,4.8427738636363635
1.888759,2.463497727272727
1.7887140000000001,0.7513380681818183
1.688882,0.053557443181818175
