,III_H2SO4,VII,Baseline,III_H3PO4,r2
0.0,4.040684796674423e-06,7.497722861318451e-07,9.696828759698358e-05,0.0,0.06056465391983689
1.0,7.898906849090368e-06,7.95081289373989e-06,-0.00029180365673859594,0.0,1.3704690553353778
2.0,9.181331821914883e-06,1.3526499706826784e-05,0.019254759119091896,0.0,1.1773882885813036
3.0,7.491647258502234e-06,1.8486762498235866e-05,0.03855329802260703,0.0,0.9356154106815099
4.0,1.2101615952806782e-05,2.6463620739466082e-05,0.010461959555754626,0.0,0.8146729351440154
5.0,1.1086176865054886e-05,3.200656830714942e-05,0.018449951094388174,0.0,0.7599300342980114
6.0,6.2625126163041575e-06,3.7806217415224106e-05,0.02550903862837323,0.0,1.147414530995496
7.0,1.186023082483419e-05,4.377869723953756e-05,0.014146712064155244,0.0,0.7479800747264335
8.0,1.0247111227919311e-05,4.967711037634243e-05,0.028828217234792668,0.0,0.9147575140685547
9.0,1.341364752842834e-05,5.514653551924513e-05,-0.002186063071208413,0.0,0.7212437327663604
10.0,1.0412153712810185e-05,6.081663184708571e-05,0.03675964328137596,0.0,0.5890442692829435
11.0,9.078495302882152e-06,6.488809465583863e-05,0.044836486002281954,0.0,0.6992311277822639
12.0,1.2968099125229358e-05,7.200995544048992e-05,0.0030783826876528884,0.0,0.6898906792637536
13.0,1.1420820689274323e-05,7.744618742332124e-05,0.02946169878571815,0.0,0.6634706218069577
14.0,1.0721929309173744e-05,8.308194184046575e-05,0.03755395032273106,0.0,0.5982676330175256
15.0,1.1889267090546683e-05,8.929722643523765e-05,0.0023711428858345833,0.0,0.7360062505996785
16.0,9.318226611294599e-06,9.485739134346685e-05,0.03280373322290614,0.0,0.6546197461561352
17.0,-8.488143872365075e-06,0.0001022104677867732,0.03328503238401696,0.0,2.5932408394140523
18.0,1.1190487236054237e-05,0.00010589136852451595,0.00745003896177175,0.0,0.7968306818948274
19.0,1.017258308170805e-05,0.00011146841631858034,0.03517940760728341,0.0,0.7082243709340796
20.0,1.2392408502738327e-05,0.00011722846379935604,0.001961325575616595,0.0,0.7874812832480531
21.0,8.441892821575273e-06,0.0001227672557834694,0.031421067892795425,0.0,0.8718897521000963
22.0,1.1629319398270842e-05,0.00012779576440367902,0.0015852282041142753,0.0,0.7812595951319683
23.0,8.45265596758125e-06,0.0001328706162413897,0.03627651122851118,0.0,0.7863346088961908
24.0,1.1650039839677495e-05,0.0001379962215091625,-0.0010075634752105046,0.0,0.87233964941252
25.0,9.123709401033266e-06,0.00014277944882920495,0.02975524489077742,0.0,0.7935362869915186
26.0,8.691170638914037e-06,0.000148318558173764,0.041494023407289964,0.0,0.7291999937263088
27.0,1.1113078059485147e-05,0.00015355939733141714,0.005507468876274519,0.0,0.8512307285404157
28.0,9.058678872804241e-06,0.00015855486151746727,0.0352602266954593,0.0,0.8926191697144064
29.0,1.214164134875561e-05,0.00016434272963901706,-0.002191990543797357,0.0,0.8423853672384953
30.0,9.723175173677193e-06,0.0001696692700938061,0.03057673158777066,0.0,0.9826815088946511
31.0,8.808086601631017e-06,0.00017443923290752833,0.04425318301685508,0.0,1.1436111169797651
32.0,1.1423893306540676e-05,0.00018016161679154145,0.012206548625813187,0.0,0.7920149832262653
33.0,9.092193788925796e-06,0.00018565478884260313,0.0454084328028561,0.0,1.0407502378853453
34.0,1.2962490484311826e-05,0.00019086165354090647,-0.002706111750078371,0.0,1.4223575478063846
35.0,9.682121029390557e-06,0.00019566801306336527,0.0438319605880359,0.0,1.2992753323146593
36.0,1.0626134007261415e-05,0.00020043306092231222,0.04800795026028127,0.0,1.3096460087334374
37.0,1.3136729134337208e-05,0.00020584607449767353,0.01869384853257447,0.0,1.2294060350518088
38.0,9.98719122758346e-06,0.0002107614285270536,0.043199774220748416,0.0,1.6365329448021166
39.0,1.3276008330254599e-05,0.00021495977396806116,0.03316344500287252,0.0,1.2144923541461352
40.0,1.2936478429395506e-05,0.00022040699439883734,0.032552792285223155,0.0,1.8269447699634391
41.0,1.2945554396912833e-05,0.00022119523870063468,0.04141431552196211,0.0,1.2775933789526164
42.0,1.988400074465248e-05,0.00021799250569890278,0.005865167990877278,0.0,1.6937481364087683
43.0,3.9716206484682e-05,0.00019499047191045708,0.038168317066632186,0.0,2.28489328361967
44.0,5.0654010171746705e-05,0.00018200030932439084,0.045648241196902334,0.0,2.600226687704666
45.0,5.751015732559047e-05,0.00017512950166002003,0.05184167248751469,0.0,2.1849968461487514
46.0,6.158007178873894e-05,0.00017056011632464744,0.051083652477048665,0.0,2.3933645404142636
47.0,6.525020950724956e-05,0.000166026238655517,0.04926531233744476,0.0,1.4669947260300644
48.0,6.691471280545795e-05,0.00016282166008026367,0.05106679025245536,0.0,1.7031596868325733
49.0,6.931304458894363e-05,0.00015933921865965726,0.01166240544437328,0.0,2.051610513250919
50.0,6.997363955849617e-05,0.00015642602239498155,0.00889771063059923,0.0,2.5449610117755377
51.0,6.958223324216661e-05,0.0001538719292352739,0.004642468890864453,0.0,2.0682928797111475
52.0,6.94732075254437e-05,0.00015120299078879296,0.005230633324280418,0.0,1.9432180566381638
53.0,6.895157397501737e-05,0.00014890229108491953,0.010772324592534594,0.0,2.606308813183729
54.0,6.870322393279064e-05,0.0001465998666453997,0.010886256207342095,0.0,1.9370649676416904
55.0,6.843925876243092e-05,0.00014449429899297277,0.011730104301216423,0.0,1.9351759329205669
56.0,6.778864273563602e-05,0.00014268530153254007,0.02071561822145583,0.0,2.1124954668878915
57.0,6.756478777135441e-05,0.0001408599502197916,0.021715776542340564,0.0,2.0101980960163943
58.0,6.71126560420986e-05,0.00013907505054750903,0.02471926995785462,0.0,2.101317229159914
59.0,6.689607658997017e-05,0.00013763097310848195,0.026183045997756303,0.0,2.0091019957219394
