E vs SHE,j / mAcm2
1.649647,0.18979937500000002
1.750346,0.2307848863636364
1.8504180000000001,0.22791596590909088
1.9506590000000001,0.23314301136363638
2.0505489999999997,0.19429329545454543
2.150357,0.2980822159090909
2.250155,1.2903806818181818
2.350389,3.201079545454545
2.4502089999999996,5.519744318181818
2.5501639999999997,8.044448863636365
2.650369,10.674556818181818
2.750285,13.375715909090909
2.850262,16.11338068181818
2.950407,18.87147159090909
3.0502949999999998,21.643607954545455
3.1501889999999997,24.41661363636364
3.250197,27.19752272727273
3.350273,29.88942613636364
3.4502059999999997,31.905210227272725
3.5500779999999996,34.00859090909091
3.650223,37.10172159090908
3.750155,40.818994318181815
3.8499969999999997,43.325750000000006
3.9500759999999997,47.34692613636364
4.050148,49.39751704545454
4.150043,53.03234090909092
4.147596,53.55380113636363
4.046437,50.76767045454545
3.946172,47.87450568181818
3.84603,44.92370454545455
3.746183,42.00067045454546
3.6462689999999998,39.19598863636364
3.546118,36.24590909090909
3.4462509999999997,33.33206818181818
3.346383,30.350409090909093
3.2462809999999998,27.37770454545455
3.1462809999999997,24.396886363636362
3.046397,21.42591477272727
2.946463,18.471914772727274
2.846307,15.542062500000002
2.7463309999999996,12.646238636363638
2.6464749999999997,9.816102272727273
2.5462659999999997,7.083732954545455
