E vs SHE,j / mAcm2
1.6483320000000001,0.20361698863636363
1.749681,0.7217625000000001
1.849804,2.5608528409090914
1.9500520000000001,5.242760795454545
2.049942,8.288477272727272
2.149817,11.508806818181817
2.2498839999999998,14.837914772727272
2.3498509999999997,18.23165340909091
2.449716,21.6715
2.549693,25.127795454545456
2.649923,28.610994318181817
2.7497949999999998,32.09101704545454
2.8497619999999997,35.61551136363636
2.949942,39.125971590909096
3.049832,42.67557954545454
3.149733,46.18273295454545
3.249697,49.69930681818182
3.3497939999999997,53.23680113636364
3.44967,56.72102272727273
3.549568,60.176988636363646
3.649746,63.631988636363644
3.649011,63.64488636363637
3.5474159999999997,59.961420454545454
3.447272,56.333147727272724
3.34738,52.70710795454545
3.247314,49.084323863636364
3.147303,45.459051136363634
3.047444,41.87230113636364
2.947552,38.302386363636366
2.847371,34.72727840909091
2.7473889999999996,31.18725
2.6475109999999997,27.720164772727273
2.547296,24.21504545454545
2.447362,20.74323863636364
2.3475159999999997,17.30390909090909
2.24754,13.927806818181816
2.147472,10.626767045454546
2.047562,7.452267045454545
1.9476630000000001,4.492634090909091
1.847429,1.9727272727272727
1.747521,0.3924235227272727
