# pop,GH, logK2, logK3, a1,a2,a3,log_diff
1.000000000000000000e+01,5.000964403980718842e-01,4.703047439072359559e+00,5.148940260552556047e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.945787175550724724e-01
3.000000000000000000e+01,4.385508474260248479e-01,5.324227754301943172e+00,4.567720279138892003e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.919342554191983685e-01
5.000000000000000000e+01,3.712769142737802341e-01,4.210163398895481635e+00,4.350023006527089287e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.712853210879440646e-01
1.000000000000000000e+02,3.037142954595192790e-01,3.272955792243322115e+00,3.953153317159570079e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.003376561425853963e-01
3.000000000000000000e+02,1.041414211205043960e-01,1.579366000520885382e+00,2.268491649744333483e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.412744022456810022e-01
5.000000000000000000e+02,7.340248897726078803e-02,8.257327846500177593e-01,1.484225498792329567e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.584133427738935451e-01
1.000000000000000000e+03,2.558837685142018644e-03,5.100530213049411232e-01,7.093774123887166549e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.208916608063611398e-02
