# pop,GH, logK2, logK3, a1,a2,a3,log_diff
1.000000000000000000e+01,5.080264457875862671e-01,4.301840384007969753e+00,5.591863497819309359e+00,3.331345020782759958e-01,2.918569836591418665e-01,2.718585802323402745e-01,3.723592795479372941e-01
3.000000000000000000e+01,4.528537471911877055e-01,4.701174839605512190e+00,4.738998376526579293e+00,3.052538848824837281e-01,2.890263461836015679e-01,2.844010200296789304e-01,2.673852659528631048e-01
5.000000000000000000e+01,5.058633860473769062e-01,4.297041537149379309e+00,4.294124859181640552e+00,3.249752614543631735e-01,2.859470040390182932e-01,2.618922120155827149e-01,2.100300569131818285e-01
1.000000000000000000e+02,4.240864718341146866e-01,4.511393903935316807e+00,4.235992669167202074e+00,3.468509869221236830e-01,2.837850980488711428e-01,2.746051129439779359e-01,1.405890328585524818e-01
3.000000000000000000e+02,3.861175025463324806e-01,4.309235496306578206e+00,3.759525076255237241e+00,3.330387903199222843e-01,3.439019912411846458e-01,2.607428766272357201e-01,7.718242590755665378e-02
5.000000000000000000e+02,3.795768986872293804e-01,4.043984772141001827e+00,3.643812617753132255e+00,2.876136720355751408e-01,3.126266918836048680e-01,2.407246557496779682e-01,6.798308683447917833e-02
1.000000000000000000e+03,4.132291051184106556e-01,4.315755213349605768e+00,3.897387248961763806e+00,3.113146532968072422e-01,2.981403883041716663e-01,2.415544301433906471e-01,5.985996681836158739e-02
