pop,GH, logK2, logK3, a1,a2,a3,log_diff
1.000000000000000000e+01,-1.908717493496386516e-02,-4.011612373011656518e-01,1.128173315355461559e-02,4.982639585043613373e-01,3.941122007969714569e-01,5.440847221994897787e-01,-1.645864890278996295e+00
3.000000000000000000e+01,2.675956628354317357e-02,-1.305925040202927878e+00,-1.908234939051889345e+00,4.476237836407024329e-01,3.273777824071983367e-01,5.505569968888813781e-01,-1.834668757781400261e+00
5.000000000000000000e+01,7.996053058010313408e-02,-2.272366720902017079e+00,-1.603003037161714328e+00,4.039277401575147586e-01,3.287279979836057464e-01,5.717002245603063360e-01,-1.938970338789675063e+00
1.000000000000000000e+02,3.746150305220424109e-02,-3.048814514216057425e+00,-2.607258254615800297e+00,3.845115196798126189e-01,2.854036262706117211e-01,5.951923520244100096e-01,-2.017201360905535257e+00
3.000000000000000000e+02,1.593913364938378541e-01,-3.904401963752990756e+00,-1.706644888217152545e+00,2.492818565930013386e-01,3.677635062456923731e-01,6.018679105183524225e-01,-2.100389664970951920e+00
5.000000000000000000e+02,2.065854015423325696e-01,-5.148128843027426349e+00,-1.339618834297601202e+00,1.819803950754470545e-01,3.751995328134634100e-01,6.630398865984958867e-01,-2.104738197012787193e+00
1.000000000000000000e+03,2.707775336738629246e-01,-4.285177845216412429e+00,-4.822723160569205580e-01,1.977891308384657765e-01,3.392206133371551968e-01,6.870898878219736661e-01,-2.125448413577670781e+00
