L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,120,24349.64 ,0.1076,0.115000002,0.126300007,0.115699999
0.05,10,120,24349.64 ,0.1084,0.147,0.142800003,0.146699995
0.1,10,120,24349.64 ,0.1116,0.190300003,0.1796,0.192699999
0.25,10,120,24349.64 ,0.1166,0.31189999,0.275099993,0.291900009
0.5,10,120,24349.64 ,0.1293,0.416399986,0.376300007,0.405999988
1,10,120,24349.64 ,0.1507,0.520900011,0.471100003,0.50849998
2,10,120,24349.64 ,0.1952,0.614199996,0.55250001,0.612200022
5,10,120,24349.64 ,0.3196,0.765500009,0.713100016,0.721700013
10,10,120,24349.64 ,0.531,0.936399996,0.863699973,0.90170002
