L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,40,24712.43 ,0.1076,0.114500001,0.116899997,0.120099999
0.05,10,40,24712.43 ,0.1084,0.1435,0.144999996,0.140300006
0.1,10,40,24712.43 ,0.1116,0.176100001,0.175099999,0.171100006
0.25,10,40,24712.43 ,0.1166,0.253500015,0.242400005,0.238999993
0.5,10,40,24712.43 ,0.1293,0.345800012,0.33860001,0.326499999
1,10,40,24712.43 ,0.1507,0.459899992,0.435299993,0.433099985
2,10,40,24712.43 ,0.1952,0.591899991,0.561200023,0.559000015
5,10,40,24712.43 ,0.3196,0.742399991,0.76880002,0.728399992
10,10,40,24712.43 ,0.531,0.934400022,0.926100016,0.885999978
