L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,30,24556.31 ,0.104999997,0.110200003,0.110399999,0.120399997
0.05,10,30,24556.31 ,0.105349999,0.118000001,0.1193,0.120700002
0.1,10,30,24556.31 ,0.108399998,0.131200001,0.129500002,0.1303
0.25,10,30,24556.31 ,0.114300001,0.165000007,0.159899995,0.155599996
0.5,10,30,24556.31 ,0.130450003,0.212400004,0.212300003,0.208000004
1,10,30,24556.31 ,0.152850002,0.277399987,0.280299991,0.267399997
2,10,30,24556.31 ,0.20995,0.379599988,0.378500015,0.364300013
5,10,30,24556.31 ,0.329699993,0.621100008,0.592599988,0.589299977
10,10,30,24556.31 ,0.548500001,0.866900027,0.880400002,0.92049998
