L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,1.5,28985.12 ,0.1076,0.1156,0.1165,0.1142
0.05,10,1.5,28985.12 ,0.1084,0.1346,0.1356,0.1352
0.1,10,1.5,28985.12 ,0.1116,0.1753,0.1618,0.1607
0.25,10,1.5,28985.12 ,0.1166,0.228,0.2296,0.2234
0.5,10,1.5,28985.12 ,0.1293,0.3213,0.3007,0.3021
1,10,1.5,28985.12 ,0.1507,0.3992,0.4006,0.392
2,10,1.5,28985.12 ,0.1952,0.5307,0.6041,0.4957
5,10,1.5,28985.12 ,0.3196,0.706,0.7014,0.7227
10,10,1.5,28985.12 ,0.531,0.8595,0.8918,0.9007
