L-P-Ser (mM),Time (min),Enzyme (ng/ mL),Molecular weight,base Abs,series  1 ,series  2,series 3
0.02,10,8,27435.50 ,0.107499998,0.136899993,0.122699998,0.128199995
0.05,10,8,27435.50 ,0.109850001,0.180500001,0.165600002,0.162799999
0.1,10,8,27435.50 ,0.11225,0.229300007,0.197500005,0.211700007
0.25,10,8,27435.50 ,0.119150002,0.314399987,0.26820001,0.309500009
0.5,10,8,27435.50 ,0.132249996,0.407200009,0.357300013,0.354799986
1,10,8,27435.50 ,0.153949998,0.501999974,0.444599986,0.457500011
2,10,8,27435.50 ,0.197499998,0.603500009,0.549700022,0.571799994
5,10,8,27435.50 ,0.329799995,0.844900012,0.742799997,0.788800001
10,10,8,27435.50 ,0.53915,0.964699984,0.919200003,0.966300011
