,10,20,30,40,70
Hsa,-0.16559078388738444,0.6074587795719345,1.3049982947403773,1.8861460570822912,
Tel,-1.1040034023822176,-0.7740110764013265,0.5206719833273586,1.5123784649457404,
Cau,-1.8370171862202724,-0.4111420065916033,0.47625632781522914,1.0696065004782678,2.0221179982326514
Mja,-1.321256544776987,-0.49149872794519905,0.7172084947659902,1.681571292822989,3.4498571607474866
Tth,-0.459455942083707,0.31133750570738195,1.4879225061147592,2.567943486530738,4.85633766639024
Eco,3.5920738837055564,3.8238206657784914,4.347202349705471,5.372995463369965,
Mru,0.5684704408330151,2.15714009170784,3.3241760442007084,4.353488429806854,7.116027463747659
Bsu,2.7533532504173954,3.5289437347583643,4.086305670929469,4.306456747847111,
Pma,-0.9393703347150751,0.21172346333988068,1.1045930594099944,1.8047106271764557,2.904577528338614
Hth,,,,1.340930537622912,3.1183116138630136
