,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.115,0,1.03,1,10.7
Tel,,,0.115,0,1.03,1,10.7
Cau,0.398,6.97,0.115,0.889,1.03,7.75,10.7
Mja,0.644,53.8,0.115,1.75,1.03,56.5,10.7
Tth,0.472,122,0.115,2.12,1.03,133,10.7
Eco,,,0.115,0,1.03,1,10.7
Mru,0.789,656,0.115,2.83,1.03,674,10.7
Bsu,,,0.115,0,1.03,1,10.7
Pma,0.68,22.4,0.115,1.37,1.03,23.4,10.7
Hth,2.16,22.8,0.115,1.32,1.03,20.9,10.7
