,10,20,30,40,70
Hsa,0.09299540537819985,0.1543902679801736,0.17432627980959656,0.1077994783262029,
Tel,0.2635648459057828,0.11198781177167698,0.062364965067515064,0.08974581152802956,
Cau,0.174240782378206,0.0835484106305896,0.08790438596059252,0.06524151731147042,0.08491343699003545
Mja,0.06822749220107897,0.13582856876639138,0.0722590470151541,0.06158050538525923,0.03510201950303354
Tth,0.25597329073041625,0.19425783735579571,0.014401003055003359,0.008150934873863092,0.06239114205053017
Eco,0.04160763755692948,0.03849884310617384,0.08293938359426667,0.09741832159370338,
Mru,0.2932711419475041,0.028854351842245496,0.03265315694743596,0.0519116707811625,0.060221537749970876
Bsu,0.02172496661484596,0.00595493627773702,0.09046206844481378,0.08043903554644626,
Pma,0.14739837139564185,0.017787349075194775,0.08297691403845742,0.04655908015847933,0.14393939261302474
Hth,,,,1.3241586293700858,0.5605772952533599
