,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.00758,7.39,0.2,1.29,1.13,19.6,13.3
Tel,0.0991,2.93,0.2,0.667,1.13,4.65,13.3
Cau,0.175,2.37,0.2,0.526,1.13,3.35,13.3
Mja,0.356,5.29,0.2,0.813,1.13,6.51,13.3
Tth,0.468,11.5,0.2,1.13,1.13,13.4,13.3
Eco,0.466,66.8,0.2,1.89,1.13,77.9,13.3
Mru,0.548,66.7,0.2,1.88,1.13,75.2,13.3
Bsu,1.14,71.1,0.2,1.84,1.13,69.3,13.3
Pma,1.98,7.53,0.2,0.817,1.13,6.56,13.3
Hth,9.64,3.94,0.2,0.399,1.13,2.51,13.3
