,0.02,0.05,0.1,0.25,0.5,1.0,2.0,5.0,10.0
Hsa,0.7026105862043202,0.8009773699614547,0.8512141927906242,0.8706955645036063,0.8679105661572967,0.8738963828092818,0.8399370138288167,0.8468286629020538,0.7774426474977226
Tel,-0.40557759161888646,-0.013967895448178134,0.16974194224040964,0.3313068082632602,0.3965753578865184,0.4197749946929208,0.4487581549090985,0.44945127149812336,0.4183357904414044
Cau,-0.807157717644594,-0.2881501660478601,-0.06263020860370314,0.13688306780455606,0.26035862966585804,0.30201049265833785,0.3452467109697241,0.34590708856353264,0.3024653024887867
Mja,-0.4633069235954663,-0.15175014164412562,0.0710360308869495,0.321762441877306,0.47677775109761167,0.5968689011928002,0.6614654400068675,0.6814898997042165,0.6473279415028538
Tth,-0.2640578353715708,0.10241925891663556,0.32697354536846035,0.598068825680636,0.7657740870487327,0.8891430607807864,0.9716313024310942,1.021385281534506,1.030796916130365
Eco,0.3779029937460138,0.8357927790260232,1.121127314126179,1.3449217709019328,1.5326530234203084,1.6615367943401413,1.7361615718643257,1.7826910615384746,1.754234007986365
Mru,0.22848183185246285,0.7510849447370097,1.05442016042425,1.2852184189896312,1.5109406130272918,1.6482839082718284,1.7028892092379333,1.7839229757322947,1.747971178497863
Bsu,-0.061375558473023895,0.46627681006253646,0.7694537372213817,1.0866918638977292,1.3388688337560037,1.5274463706517087,1.651301698480349,1.762691694332162,1.7432986761989524
Pma,-1.2296739830699006,-0.7478799389551245,-0.403249884179959,-0.039555267664257966,0.18336959355279567,0.389713874590701,0.5786725391562053,0.7311435312672147,0.7586916189972279
Hth,,-1.8924655660284542,-1.4728522587302395,-1.049106019062534,-0.7170133136944434,-0.4027774206953956,-0.18058863948722806,0.12968598994275254,0.26071154126952784
