,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.11467387251773051,0.0,1.0282626081104798,1.0,10.67241262959901
Tel,,,0.11467387251773051,0.0,1.0282626081104798,1.0,10.67241262959901
Cau,0.39793991119875133,6.970112699208886,0.11467387251773051,0.889130277366951,1.0282626081104798,7.746941516142558,10.67241262959901
Mja,0.6441958818739714,53.7533860703173,0.11467387251773051,1.7523064787470055,1.0282626081104798,56.53357878068495,10.67241262959901
Tth,0.47247686282711304,122.29174128350087,0.11467387251773051,2.124737172618028,1.0282626081104798,133.27146525959,10.67241262959901
Eco,,,0.11467387251773051,0.0,1.0282626081104798,1.0,10.67241262959901
Mru,0.7887995538842313,655.5712839947874,0.11467387251773051,2.8284351544222384,1.0282626081104798,673.6513034271782,10.67241262959901
Bsu,,,0.11467387251773051,0.0,1.0282626081104798,1.0,10.67241262959901
Pma,0.6803788940803256,22.352160716175206,0.11467387251773051,1.3684986210974257,1.0282626081104798,23.361386848721903,10.67241262959901
Hth,2.158339302855972,22.794663159222512,0.11467387251773051,1.3195183768531493,1.0282626081104798,20.869804310955132,10.67241262959901
