,0.02,0.05,0.1,0.25,0.5,1.0,2.0,5.0,10.0
Hsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cau,0.2219848839876467,0.027957340923782888,0.04093122170720223,0.045345707352051186,0.03405211674603302,0.032799175741098564,0.03935553018325379,0.02901773750545422,0.042979277714376575
Mja,0.01929816525637749,0.04755721290682321,0.04947054131021199,0.06888233813315446,0.033187567655646184,0.02063474632014593,0.025102289281917427,0.018683335634323187,0.03258259247725691
Tth,0.14334868011185248,0.06679459858544053,0.0688475156459542,0.06474873550114195,0.051672331264540815,0.040848913859414686,0.0309744876051298,0.047986193263334226,0.028835591108493427
Eco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mru,0.06580734091986613,0.008192789212857808,0.06268124684515111,0.012743358460910254,0.027494769496772455,0.008168167788006896,0.06778346389550911,0.012386733752846147,0.027092925529693765
Bsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pma,0.1290308823383116,0.030596371231052154,0.01858531269849584,0.02534517763292916,0.02053047647783698,0.021825306504959518,0.02099306463749006,0.020740380506461147,0.029785020624846156
Hth,0.2676244891811002,0.04200982930036194,0.016830557304880044,0.04453758689665225,0.013686933510460377,0.024389127858055144,0.022926626680199368,0.02752762307919873,0.03498736286224122
