,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.5,0.0,1.0611288769513605,1.0,11.511419398041884
Tel,,,0.5,0.0,1.0611288769513605,1.0,11.511419398041884
Cau,0.39793991119875133,6.970112699208886,0.5,1.0433310508812181,1.0611288769513605,11.049205498791144,11.511419398041884
Mja,0.6441958818739714,53.7533860703173,0.5,1.8258968547289272,1.0611288769513605,66.97255302017413,11.511419398041884
Tth,0.47247686282711304,122.29174128350087,0.5,2.250206855867382,1.0611288769513605,177.9126612024067,11.511419398041884
Eco,,,0.5,0.0,1.0611288769513605,1.0,11.511419398041884
Mru,0.7887995538842313,655.5712839947874,0.5,2.868136593746941,1.0611288769513605,738.1363513284228,11.511419398041884
Bsu,,,0.5,0.0,1.0611288769513605,1.0,11.511419398041884
Pma,0.6803788940803256,22.352160716175206,0.5,1.432944094952525,1.0611288769513605,27.098427818669244,11.511419398041884
Hth,2.158339302855972,22.794663159222512,0.5,1.1907733193366121,1.0611288769513605,15.515769506284535,11.511419398041884
