,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.2,0,1.04,1,10.9
Tel,,,0.2,0,1.04,1,10.9
Cau,0.398,6.97,0.2,0.923,1.04,8.38,10.9
Mja,0.644,53.8,0.2,1.77,1.04,58.7,10.9
Tth,0.472,122,0.2,2.15,1.04,142,10.9
Eco,,,0.2,0,1.04,1,10.9
Mru,0.789,656,0.2,2.84,1.04,687,10.9
Bsu,,,0.2,0,1.04,1,10.9
Pma,0.68,22.4,0.2,1.38,1.04,24.1,10.9
Hth,2.16,22.8,0.2,1.29,1.04,19.5,10.9
