,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.007581398518332908,7.385483696200568,0.2,1.292429078542376,1.1250624527471256,19.60780948524249,13.337132100206155
Tel,0.09909715456323168,2.928699553758633,0.2,0.6674625841365895,1.1250624527471256,4.650103123100389,13.337132100206155
Cau,0.17514684397743596,2.3677866027427337,0.2,0.5256620957257572,1.1250624527471256,3.3547649406512776,13.337132100206155
Mja,0.3560350066250034,5.291797024481296,0.2,0.8133046374713714,1.1250624527471256,6.5058588620151845,13.337132100206155
Tth,0.46830388158973807,11.513780617694461,0.2,1.1271123986996132,1.1250624527471256,13.400234507648161,13.337132100206155
Eco,0.4663088039781885,66.83547590414794,0.2,1.8912723217916134,1.1250624527471256,77.85245672549115,13.337132100206155
Mru,0.5481512108132979,66.71503227421627,0.2,1.8764436249040826,1.1250624527471256,75.23910571132893,13.337132100206155
Bsu,1.1360681753971862,71.0699417617422,0.2,1.8406050807303507,1.1250624527471256,69.27955361132031,13.337132100206155
Pma,1.9813408352644553,7.525854670282906,0.2,0.8171639894429266,1.1250624527471256,6.563930733066136,13.337132100206155
Hth,9.639987816006453,3.944427818297452,0.2,0.39916871602657544,1.1250624527471256,2.507083023026763,13.337132100206155
