,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.007581398518332908,7.385483696200568,0.8,2.564579482912093,1.3599476118717777,366.92684184135055,22.905913263692643
Tel,0.09909715456323168,2.928699553758633,0.8,1.2698258734346985,1.3599476118717777,18.61340698798161,22.905913263692643
Cau,0.17514684397743596,2.3677866027427337,0.8,0.9796207060993309,1.3599476118717777,9.541589011616367,22.905913263692643
Mja,0.3560350066250034,5.291797024481296,0.8,1.0824090166034401,1.3599476118717777,12.089518846032759,22.905913263692643
Tth,0.46830388158973807,11.513780617694461,0.8,1.324795744202027,1.3599476118717777,21.124952650864714,22.905913263692643
Eco,0.4663088039781885,66.83547590414794,0.8,2.090068152746602,1.3599476118717777,123.04618489621502,22.905913263692643
Mru,0.5481512108132979,66.71503227421627,0.8,2.033103398247858,1.3599476118717777,107.92036319690524,22.905913263692643
Bsu,1.1360681753971862,71.0699417617422,0.8,1.8073624442414131,1.3599476118717777,64.1744926980112,22.905913263692643
Pma,1.9813408352644553,7.525854670282906,0.8,0.6389884752024154,1.3599476118717777,4.355003167356118,22.905913263692643
Hth,9.639987816006453,3.944427818297452,0.8,-0.19127717497210384,1.3599476118717777,0.6437582756418886,22.905913263692643
