,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.00758,7.39,0.5,1.93,1.24,84.8,17.5
Tel,0.0991,2.93,0.5,0.969,1.24,9.3,17.5
Cau,0.175,2.37,0.5,0.753,1.24,5.66,17.5
Mja,0.356,5.29,0.5,0.948,1.24,8.87,17.5
Tth,0.468,11.5,0.5,1.23,1.24,16.8,17.5
Eco,0.466,66.8,0.5,1.99,1.24,97.9,17.5
Mru,0.548,66.7,0.5,1.95,1.24,90.1,17.5
Bsu,1.14,71.1,0.5,1.82,1.24,66.7,17.5
Pma,1.98,7.53,0.5,0.728,1.24,5.35,17.5
Hth,9.64,3.94,0.5,0.104,1.24,1.27,17.5
