,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.2,0.0,1.0355404728722264,1.0,10.852766842770523
Tel,,,0.2,0.0,1.0355404728722264,1.0,10.852766842770523
Cau,0.39793991119875133,6.970112699208886,0.2,0.9232763004895288,1.0355404728722264,8.380622923030892,10.852766842770523
Mja,0.6441958818739714,53.7533860703173,0.2,1.768602237987444,1.0355404728722264,58.695152859312294,10.852766842770523
Tth,0.47247686282711304,122.29174128350087,0.2,2.1525210196622098,1.0355404728722264,142.07609754034326,10.852766842770523
Eco,,,0.2,0.0,1.0355404728722264,1.0,10.852766842770523
Mru,0.7887995538842313,655.5712839947874,0.2,2.8372265906406535,1.0355404728722264,687.4270075415088,10.852766842770523
Bsu,,,0.2,0.0,1.0355404728722264,1.0,10.852766842770523
Pma,0.6803788940803256,22.352160716175206,0.2,1.382769344844464,1.0355404728722264,24.141783162577173,10.852766842770523
Hth,2.158339302855972,22.794663159222512,0.2,1.2910092350979654,1.0355404728722264,19.543810144619137,10.852766842770523
