,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.007581398518332908,7.385483696200568,0.11479039949291567,1.1117633656402603,1.0917050017903682,12.93490864070427,12.351081907331935
Tel,0.09909715456323168,2.928699553758633,0.11479039949291567,0.5819173587345476,1.0917050017903682,3.818715981347458,12.351081907331935
Cau,0.17514684397743596,2.3677866027427337,0.11479039949291567,0.46119270933128487,1.0917050017903682,2.8919628473139682,12.351081907331935
Mja,0.3560350066250034,5.291797024481296,0.11479039949291567,0.7750875097371205,1.0917050017903682,5.957821807199034,12.351081907331935
Tth,0.46830388158973807,11.513780617694461,0.11479039949291567,1.0990382005376722,1.0917050017903682,12.56140448935217,12.351081907331935
Eco,0.4663088039781885,66.83547590414794,0.11479039949291567,1.8630401328946993,1.0917050017903682,72.95249221038141,12.351081907331935
Mru,0.5481512108132979,66.71503227421627,0.11479039949291567,1.8541954304004935,1.0917050017903682,71.48179182924696,12.351081907331935
Bsu,1.1360681753971862,71.0699417617422,0.11479039949291567,1.8453260670220584,1.0917050017903682,70.03676326168738,12.351081907331935
Pma,1.9813408352644553,7.525854670282906,0.11479039949291567,0.8424677634238904,1.0917050017903682,6.957733072987436,12.351081907331935
Hth,9.639987816006453,3.944427818297452,0.11479039949291567,0.4830214801816537,1.0917050017903682,3.041035431405155,12.351081907331935
