,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.5,0,1.06,1,11.5
Tel,,,0.5,0,1.06,1,11.5
Cau,0.398,6.97,0.5,1.04,1.06,11,11.5
Mja,0.644,53.8,0.5,1.83,1.06,67,11.5
Tth,0.472,122,0.5,2.25,1.06,178,11.5
Eco,,,0.5,0,1.06,1,11.5
Mru,0.789,656,0.5,2.87,1.06,738,11.5
Bsu,,,0.5,0,1.06,1,11.5
Pma,0.68,22.4,0.5,1.43,1.06,27.1,11.5
Hth,2.16,22.8,0.5,1.19,1.06,15.5,11.5
