,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.00758,7.39,0.8,2.56,1.36,367,22.9
Tel,0.0991,2.93,0.8,1.27,1.36,18.6,22.9
Cau,0.175,2.37,0.8,0.98,1.36,9.54,22.9
Mja,0.356,5.29,0.8,1.08,1.36,12.1,22.9
Tth,0.468,11.5,0.8,1.32,1.36,21.1,22.9
Eco,0.466,66.8,0.8,2.09,1.36,123,22.9
Mru,0.548,66.7,0.8,2.03,1.36,108,22.9
Bsu,1.14,71.1,0.8,1.81,1.36,64.2,22.9
Pma,1.98,7.53,0.8,0.639,1.36,4.36,22.9
Hth,9.64,3.94,0.8,-0.191,1.36,0.644,22.9
