,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.8,0,1.09,1,12.2
Tel,,,0.8,0,1.09,1,12.2
Cau,0.398,6.97,0.8,1.16,1.09,14.6,12.2
Mja,0.644,53.8,0.8,1.88,1.09,76.4,12.2
Tth,0.472,122,0.8,2.35,1.09,223,12.2
Eco,,,0.8,0,1.09,1,12.2
Mru,0.789,656,0.8,2.9,1.09,793,12.2
Bsu,,,0.8,0,1.09,1,12.2
Pma,0.68,22.4,0.8,1.48,1.09,30.4,12.2
Hth,2.16,22.8,0.8,1.09,1.09,12.3,12.2
