Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
1.009869667,0.013352604,-0.023318315,1.253671803,0.068004097,-0.087970403,0.080005375,-0.02637518,0.015709055,-0.005178766
1.010889467,0.013555096,-0.023040639,1.254688603,0.069035377,-0.086922846,0.082921133,-0.028259656,0.016281564,-0.005548783
1.0118818,0.013744355,-0.022986501,1.255678132,0.069999263,-0.086718608,0.083489606,-0.027864244,0.016393184,-0.005471144
1.012913233,0.013887504,-0.023115468,1.256707444,0.070728312,-0.087205145,0.082135383,-0.025780972,0.016127282,-0.005062094
1.013890033,0.0138885,-0.023020924,1.257684229,0.070733383,-0.086848471,0.083128146,-0.026768664,0.016322212,-0.005256027
1.014890367,0.013962972,-0.023015595,1.258683459,0.071112667,-0.086828365,0.083184108,-0.026445342,0.0163332,-0.005192543
1.0159041,0.013886325,-0.022813551,1.259698328,0.070722305,-0.086066137,0.085305686,-0.028957281,0.016749771,-0.005685762
1.0168774,0.013998659,-0.022667207,1.260669963,0.071294416,-0.085514041,0.086842381,-0.029921866,0.017051502,-0.005875158
1.017901033,0.014253201,-0.022671532,1.261689825,0.072590785,-0.085530357,0.086796967,-0.028580083,0.017042585,-0.005611699
1.0188601,0.014299284,-0.022728943,1.262648208,0.072825487,-0.085746945,0.08619412,-0.027742533,0.016924215,-0.005447246
1.0199058,0.014351602,-0.022771206,1.263693133,0.073091935,-0.085906387,0.08575033,-0.027032295,0.016837077,-0.005307791
1.020871533,0.014475045,-0.022850583,1.264657037,0.073720625,-0.086205845,0.084916822,-0.025570098,0.016673418,-0.005020689
1.021891367,0.014421197,-0.022706272,1.265677669,0.073446383,-0.085661416,0.086432179,-0.027359698,0.016970958,-0.005372077
1.022876933,0.014442695,-0.022628673,1.266662917,0.073555871,-0.085368668,0.087247012,-0.028065041,0.017130951,-0.005510571
1.023874033,0.014640237,-0.022396836,1.267657089,0.074561942,-0.084494045,0.089681426,-0.029493385,0.017608948,-0.005791026
1.024886833,0.015014979,-0.022747132,1.268664336,0.076470483,-0.085815565,0.086003124,-0.023906541,0.016886713,-0.004694049
1.025934567,0.015556033,-0.022453472,1.269704052,0.079226042,-0.084707706,0.089086725,-0.024234584,0.017492178,-0.004758461
1.026937167,0.015087628,-0.022352809,1.270713593,0.076840479,-0.084327948,0.090143736,-0.027677158,0.017699723,-0.00543441
1.027892967,0.015080415,-0.022506074,1.2716695,0.076803745,-0.084906153,0.08853437,-0.026104526,0.017383724,-0.005125624
1.028891867,0.014943798,-0.022462915,1.272670424,0.07610796,-0.084743333,0.088987559,-0.027253499,0.017472707,-0.005351225
1.029947833,0.015111563,-0.022602889,1.273723905,0.076962377,-0.085271394,0.087517761,-0.024929285,0.017184112,-0.004894865
1.030956267,0.015358259,-0.022401272,1.274728683,0.078218788,-0.084510779,0.089634847,-0.02578996,0.017599802,-0.005063859
1.031913033,0.015303712,-0.022396904,1.275686258,0.077940981,-0.084494298,0.089680721,-0.02611364,0.017608809,-0.005127413
1.032935833,0.015471374,-0.022289971,1.276706573,0.078794876,-0.084090884,0.090803578,-0.026382603,0.017829283,-0.005180224
1.0339002,0.015603557,-0.02215053,1.277668981,0.079468077,-0.083564833,0.092267781,-0.027173604,0.018116779,-0.005335537
1.0349519,0.015558023,-0.022341335,1.278721356,0.079236177,-0.08428466,0.090264223,-0.025401947,0.01772338,-0.004987672
1.035941767,0.015565531,-0.022241395,1.279711111,0.079274413,-0.083907629,0.091313648,-0.026413136,0.017929435,-0.005186219
1.036941933,0.015790249,-0.022240243,1.280707948,0.08041889,-0.083903283,0.091325746,-0.025280757,0.01793181,-0.004963877
1.0379674,0.015936406,-0.022202016,1.281731249,0.081163259,-0.083759066,0.091727155,-0.024937796,0.018010627,-0.004896536
1.0389777,0.016087445,-0.02218478,1.282739311,0.081932491,-0.083694043,0.09190814,-0.02434955,0.018046163,-0.004781034
1.039940167,0.016111363,-0.022093675,1.283701423,0.082054308,-0.083350343,0.09286479,-0.025184383,0.018234001,-0.004944954
1.040950233,0.016162505,-0.022027179,1.284710732,0.08231477,-0.083099478,0.093563045,-0.025622176,0.018371104,-0.005030914
1.0419244,0.016154608,-0.021970349,1.285685016,0.082274551,-0.082885081,0.094159793,-0.026259144,0.018488275,-0.005155983
