Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
0.958957893,-0.056954414,-0.026482876,1.20471795,-0.290065769,-0.099908989,0.123974769,-0.464449616,0.024342446,-0.091194682
0.960084183,-0.022333718,-0.022259492,1.205382227,-0.113744427,-0.083975899,0.079349406,-0.243502912,0.015580256,-0.047811797
0.961029093,-0.009033787,-0.019916471,1.206149649,-0.046008594,-0.075136648,0.05459245,-0.151010123,0.010719228,-0.029650838
0.962053257,-0.00142495,-0.01814929,1.207072273,-0.007257194,-0.068469799,0.035919954,-0.093586227,0.007052883,-0.018375656
0.963036753,0.00353185,-0.016761745,1.207989621,0.017987524,-0.063235166,0.021258803,-0.053680358,0.004174166,-0.010540138
0.964012107,0.006920459,-0.015862291,1.208919753,0.035245524,-0.059841895,0.011754937,-0.026918492,0.002308082,-0.005285446
0.96511811,0.009897823,-0.014749793,1.209986024,0.050409079,-0.055644899,0,0,0,0
0.966138223,0.01205957,-0.013819428,1.210977288,0.061418742,-0.052135015,0.009830475,0.001179188,0.001930214,0.000231534
0.967128097,0.013655818,-0.013347528,1.21194586,0.069548349,-0.05035473,0.014816694,0.004322576,0.002909258,0.000848738
0.968165003,0.014837629,-0.012860074,1.212966995,0.075567249,-0.048515765,0.019967263,0.005190907,0.003920572,0.001019235
0.96914842,0.015869963,-0.01240853,1.213936635,0.080824869,-0.046812275,0.024738393,0.005677397,0.004857383,0.001114757
0.970156233,0.01676349,-0.011975909,1.214932525,0.085375552,-0.045180176,0.029309574,0.005656899,0.005754935,0.001110732
0.971238113,0.017549878,-0.01158586,1.21600391,0.089380586,-0.043708682,0.033430929,0.005540577,0.006564163,0.001087892
0.972252803,0.017995108,-0.011142338,1.217012659,0.09164812,-0.042035455,0.0381173,0.003121741,0.007484332,0.000612954
0.973272443,0.01856661,-0.010972802,1.218024672,0.094558747,-0.041395866,0.039908659,0.004241009,0.007836065,0.000832722
0.974278587,0.019140748,-0.010617206,1.219023153,0.097482801,-0.040054349,0.043665978,0.003407744,0.008573815,0.000669111
0.975271027,0.019641603,-0.010379308,1.220008909,0.100033629,-0.039156856,0.046179673,0.003444877,0.009067379,0.000676402
0.976248287,0.020131771,-0.010083837,1.220979628,0.102530028,-0.038042167,0.049301692,0.002819257,0.009680387,0.000553561
0.977290553,0.020535247,-0.010056703,1.22201651,0.10458491,-0.037939799,0.049588404,0.004587427,0.009736683,0.000900741
0.97826191,0.020846367,-0.009716176,1.222983715,0.106169429,-0.036655132,0.053186497,0.002573853,0.010443169,0.000505376
0.979229213,0.021281553,-0.009583981,1.223945211,0.108385808,-0.036156414,0.054583307,0.003393422,0.010717432,0.000666298
0.98029403,0.021672043,-0.009434393,1.225004817,0.110374548,-0.03559208,0.056163892,0.003801577,0.01102778,0.00074644
0.9812305,0.021959606,-0.009355801,1.225937449,0.111839093,-0.035295587,0.056994308,0.004435707,0.011190832,0.000870951
0.98225673,0.02225774,-0.009123293,1.2269597,0.113357472,-0.034418429,0.059451049,0.003497344,0.011673214,0.000686703
0.98326254,0.022583465,-0.009117548,1.227961164,0.115016375,-0.034396755,0.059511755,0.005095541,0.011685133,0.001000509
0.98421385,0.023057412,-0.008935575,1.228906149,0.117430161,-0.033710248,0.061434523,0.005586559,0.012062669,0.001096921
0.98537314,0.023209073,-0.008764659,1.230063415,0.11820256,-0.033065449,0.063240473,0.004553008,0.012417267,0.000893983
0.9864588,0.023424381,-0.008770401,1.231146202,0.119299112,-0.033087111,0.063179802,0.005710231,0.012405354,0.001121204
0.987479827,0.023563973,-0.008590801,1.232165365,0.120010047,-0.032409555,0.065077499,0.004523468,0.012777967,0.000888183
0.988538607,0.023838703,-0.008500432,1.233220479,0.121409235,-0.032068629,0.066032364,0.004967792,0.012965455,0.000975426
0.989470383,0.023987735,-0.008488195,1.234150267,0.122168247,-0.032022466,0.066161658,0.00559751,0.012990842,0.001099071
0.99046568,0.024123707,-0.008386934,1.235143749,0.122860744,-0.03164045,0.067231607,0.005220057,0.013200926,0.001024958
0.99147282,0.024294423,-0.008223457,1.236148611,0.123730193,-0.031023719,0.068958947,0.004362166,0.013540089,0.000856511
0.992490927,0.024516056,-0.008127932,1.23716376,0.124858958,-0.030663342,0.06996829,0.004481588,0.013738274,0.00087996
0.993496737,0.024772364,-0.008167297,1.238166149,0.126164319,-0.03081185,0.069552349,0.006202891,0.013656604,0.001217938
0.994464333,0.024972648,-0.00778731,1.239131073,0.127184354,-0.029378315,0.073567391,0.003207885,0.014444957,0.000629868
0.99543474,0.025077799,-0.007929284,1.240100077,0.127719885,-0.029913924,0.072067258,0.005243547,0.014150406,0.001029571
0.996480823,0.025386031,-0.007808162,1.241142047,0.12928969,-0.02945698,0.073347066,0.005533545,0.014401696,0.001086512
0.997492113,0.025487136,-0.007752666,1.242151988,0.129804614,-0.029247618,0.073933447,0.005462088,0.014516832,0.001072481
0.998484593,0.02565406,-0.007683647,1.24314224,0.130654749,-0.028987236,0.074662725,0.005582945,0.014660026,0.001096211
0.999445387,0.025843751,-0.007632581,1.244100502,0.131620837,-0.028794585,0.075202301,0.006009457,0.014765972,0.001179957
1.00045543,0.02590152,-0.007441149,1.245109774,0.131915048,-0.028072392,0.077225017,0.004280951,0.015163132,0.000840565
1.001428567,0.026123405,-0.007503199,1.24607995,0.1330451,-0.028306483,0.076569376,0.006066644,0.015034397,0.001191186
1.002464133,0.026249033,-0.00753798,1.24711384,0.133684916,-0.028437697,0.076201871,0.007073967,0.014962237,0.001388973
1.003443933,0.02636594,-0.007467804,1.24809208,0.134280317,-0.028172949,0.076943377,0.006927861,0.015107832,0.001360286
1.004489733,0.026444235,-0.007351471,1.249136835,0.134679068,-0.027734072,0.078172582,0.006097407,0.015349186,0.001197226
1.005504933,0.026658178,-0.007355884,1.25014918,0.135768668,-0.027750722,0.078125949,0.00723364,0.01534003,0.001420325
1.006448633,0.026815765,-0.007385623,1.251090777,0.136571249,-0.027862917,0.077811715,0.008350454,0.01527833,0.001639612
1.007484467,0.026954528,-0.007161063,1.252124758,0.137277965,-0.027015742,0.080184481,0.006684405,0.015744223,0.001312483
1.008431533,0.027125298,-0.00712607,1.253069546,0.138147685,-0.02688373,0.08055422,0.007184386,0.015816821,0.001410654
1.009470867,0.027300065,-0.007046186,1.254106547,0.139037764,-0.026582359,0.081398298,0.007230387,0.015982556,0.001419687
1.0105463,0.02746103,-0.007147045,1.255179833,0.13985755,-0.026962859,0.080332595,0.009115877,0.015773305,0.001789902
1.011458033,0.027519813,-0.007160968,1.256090781,0.140156927,-0.027015385,0.08018548,0.009562368,0.015744419,0.001877571
1.012523567,0.027646654,-0.007205591,1.257154622,0.140802923,-0.027183729,0.079713983,0.010679861,0.015651841,0.002096991
