Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
1.008343267,0.017179778,-0.012263791,1.253111569,0.087495686,-0.046266235,0.074104539,-0.034989514,0.014550426,-0.006870191
1.0093351,0.01702446,-0.012090574,1.254105497,0.08670466,-0.045612759,0.07592188,-0.037597881,0.014907261,-0.007382344
1.010301733,0.017141749,-0.012161367,1.255070548,0.087302005,-0.045879832,0.075179141,-0.036257798,0.014761424,-0.007119219
1.011284033,0.017427857,-0.011906465,1.25604899,0.088759141,-0.044918191,0.077853496,-0.037475017,0.015286534,-0.00735822
1.012327167,0.017508104,-0.011762897,1.257091041,0.089167835,-0.04437657,0.079359765,-0.038572592,0.01558229,-0.007573728
1.013314967,0.017627994,-0.011872937,1.258077224,0.089778428,-0.044791704,0.078205262,-0.036807496,0.015355603,-0.007227152
1.014335067,0.017783115,-0.011811976,1.259095232,0.090568451,-0.044561722,0.07884485,-0.036657061,0.015481186,-0.007197614
1.015323767,0.017693753,-0.011938126,1.260085137,0.090113332,-0.045037634,0.077521322,-0.035788652,0.015221312,-0.007027102
1.016293033,0.017614344,-0.01188936,1.261055475,0.089708909,-0.04485366,0.07803296,-0.036704713,0.015321772,-0.00720697
1.017334067,0.017926536,-0.011843702,1.262092297,0.091298885,-0.044681414,0.078511983,-0.03559376,0.015415828,-0.006988835
1.018299867,0.017992174,-0.011651293,1.263057212,0.091633175,-0.043955534,0.080530681,-0.037278167,0.015812199,-0.007319568
1.019300967,0.01809045,-0.011837309,1.264056987,0.092133688,-0.044657294,0.07857906,-0.034826034,0.015428999,-0.006838092
1.020291433,0.018252376,-0.011822871,1.26504527,0.09295837,-0.044602826,0.07873054,-0.034152831,0.015458741,-0.006705908
1.021335967,0.018307824,-0.011717048,1.266089055,0.093240764,-0.044203598,0.079840806,-0.034980704,0.015676742,-0.006868461
1.0223173,0.018168721,-0.011592355,1.267072265,0.092532322,-0.043733182,0.081149048,-0.036997388,0.015933616,-0.007264437
